,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
103,0.0,4.5588266744330296e-05,1.9195059681823284e-05,0.0001151703580909397,0.0001367648002329909,8.517807733809082e-05,3.5990736903418656e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3591354443190744e-05,3.3591354443190744e-05,3.3591354443190744e-05,3.3591354443190744e-05,3.3591354443190744e-05,,
104,7.103553785839306e-05,4.917844928657981e-05,8.7428354287253e-05,0.00024771367048055014,0.0002750350311953167,0.00015117819595504163,2.732136071476656e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.374984166778864e-05,3.824990500067318e-05,6.374984166778864e-05,6.374984166778864e-05,6.374984166778864e-05,,
105,0.01339748924940223,0.012057740324462008,0.014737238174342453,0.040192467748206694,0.04287196559808714,0.024115480648924017,0.009378242474581562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009378242474581562,0.009378242474581562,0.009378242474581562,0.009378242474581562,0.009378242474581562,,
106,0.0,2.5790676798404323e-05,0.0,7.414819579541243e-05,0.0001079984590933181,7.092436119561189e-05,3.385026329790567e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.513368439720756e-05,4.513368439720756e-05,5.6417105496509456e-05,5.6417105496509456e-05,5.6417105496509456e-05,,
