ID,dist_from_city,HDI,Trees_cover_areas,Shrubs_cover_areas,Grassland,Cropland,Vegetation_aquatic_or_regularly_flooded,Lichen_Mosses_/_Sparse_vegetation,Bare_areas,Built_up_areas,Snow_and/or_Ice,Open_water,elevation_average,average_wealth_index,roads_extension,rivers_extension,close_to_roads_buildings_perc,proximity_to_water,GHI,DNI,TEMP,PVOUT,wind_50
0,352,0.523296968637228,2.61,23.68,44.06,29.66,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.348,0.8115417176965576,0.0,0,7162,5.493894577026367,6.148789405822754,12.833333015441895,4.9708333015441895,4.094121932983398
1,112,0.6142243022236265,1.41,6.35,6.41,85.56,0.0,0.0,0.0,0.28,0.0,0.0,0,-0.030999999999999993,9.241631747408263,0.3397086829562668,0,325,5.630612850189209,6.498386859893799,14.8125,5.093500137329102,3.9040088653564453
10,126,0.523296968637228,11.32,25.32,31.93,31.09,0.0,0.04,0.31,0.0,0.0,0.0,0,-0.2502,3.8780343595016933,0.9639914247624329,0,3825,5.462928771972656,6.00842809677124,13.700000762939453,4.953999996185303,3.0327694416046143
100,1550,0.523296968637228,0.0,50.67,41.33,2.67,0.0,0.0,5.33,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1739,5.270249843597412,5.784000396728516,9.75,4.847750186920166,3.1322245597839355
101,1054,0.523296968637228,2.68,15.43,22.76,59.03,0.0,0.1,0.0,0.0,0.0,0.0,0,-0.34275,0.08360622407293744,0.0,0,1321,5.33363676071167,6.005817890167236,11.199999809265137,4.897500038146973,4.45918083190918
102,398,0.523296968637228,11.81,6.85,28.13,53.21,0.0,0.0,0.0,0.0,0.0,0.0,0,0.08639999999999999,0.7963875247213227,0.23682178436921944,0,2312,5.5289998054504395,6.202636241912842,13.800000190734863,5.01099967956543,2.6295785903930664
103,182,0.523296968637228,3.41,27.81,39.24,29.5,0.0,0.0,0.04,0.0,0.0,0.0,0,-0.0006666666666666649,6.036493395592405,0.0,0,725,5.652160167694092,6.503399848937988,14.033332824707031,5.125666618347168,4.0997185707092285
104,165,0.523296968637228,6.39,4.16,21.4,68.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0.085,4.035228432769778,0.0,0,262,5.647738933563232,6.52739143371582,14.119999885559082,5.125199794769287,3.3982133865356445
105,230,0.523296968637228,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.20659999999999998,0.0,0.0,0,1283,5.6605000495910645,6.545000076293945,14.399999618530273,5.142000198364258,2.965862274169922
106,181,0.523296968637228,3.08,22.76,21.62,52.54,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.09133333333333332,4.4052646071913175,0.0,0,667,5.633318901062012,6.449045181274414,13.75999927520752,5.099999904632568,2.7654337882995605
107,217,0.523296968637228,12.86,11.21,16.74,59.19,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.252,1.4626981585257506,0.5961463701742139,0,1886,5.55649995803833,6.263199806213379,13.5,5.0279998779296875,2.5424695014953613
108,208,0.523296968637228,0.0,3.27,4.46,92.26,0.0,0.0,0.0,0.0,0.0,0.0,0,0.18166666666666667,0.34682770833230975,0.0,0,844,5.674428462982178,6.604428291320801,14.25,5.148750305175781,2.8846275806427
