Cluster,Sub_cluster,Population,Load [kW],Grid_Length [km],Grid Cost [euro],Max length [km],Transformer_rated_power [kVA],Cost[euro]
6.0,0.0,217,66.41960810303748,2.4219227256758806,24219.227256758804,0.4787978225826492,100,2100
6.0,1.0,193,59.76154947660442,2.2794226620786042,22794.226620786045,0.6097299438521933,100,2100
6.0,2.0,189,58.64731042672172,2.2834106036238033,22834.10603623803,0.45040801914146383,100,2100
6.0,3.0,109,35.98260658150754,1.5223190133147013,15223.190133147014,0.4386570922026427,50,1500
6.0,4.0,113,37.13838811770336,1.604039740837045,16040.39740837045,0.5348468032573009,50,1500
6.0,5.0,113,37.13838811770336,1.5032296341790652,15032.296341790652,0.5182174371082129,50,1500
6.0,6.0,109,35.98260658150754,1.2703019731993257,12703.019731993256,0.4516344394141655,50,1500
6.0,7.0,105,34.82357710254203,1.4858274796568645,14858.274796568643,0.4985868604836112,50,1500
6.0,8.0,133,42.87413289679446,1.7316808460364024,17316.80846036402,0.42243940644191097,50,1500
6.0,9.0,93,31.32500964889484,0.7665133753690098,7665.133753690097,0.31242640687119283,50,1500
6.0,10.0,89,30.150889526112042,1.0865887314321723,10865.887314321724,0.3141450260624575,50,1500
6.0,11.0,29,11.694761983116061,1.0322693039456885,10322.693039456884,0.41717987100460235,50,1500
6.0,12.0,57,20.565840081601298,0.9814296235543981,9814.296235543981,0.4087481818827791,50,1500
6.0,13.0,117,38.2910942377233,1.7662390790199798,17662.3907901998,0.4235339343815465,50,1500
6.0,14.0,53,19.335804801241462,0.8610509153935891,8610.509153935891,0.30546215331467197,50,1500
6.0,15.0,65,23.000641414376076,0.9992637128085637,9992.637128085638,0.5122595045270181,50,1500
6.0,16.0,37,14.304295885466793,0.5268890581410642,5268.890581410642,0.26010139133129906,50,1500
6.0,17.0,69,24.20699093495534,1.003759666298939,10037.596662989392,0.30345700211641413,50,1500
6.0,18.0,53,19.335804801241462,0.8106256307802675,8106.256307802675,0.3307452456028384,50,1500
6.0,19.0,49,18.096034037041157,0.39,3900.0,0.18,50,1500
6.0,20.0,81,27.789079162937167,0.8138697061347588,8138.697061347589,0.22950844619618652,50,1500
6.0,21.0,97,32.49499803409727,0.8288245515940427,8288.245515940427,0.2765946889519094,50,1500
6.0,22.0,141,45.150745725556014,1.2316309284035805,12316.309284035804,0.28586373431448503,100,2100
