Cluster;Renewable fraction index;PV [kW];Wind [kW];Diesel [kW];BESS [kWh];Inverter [kW];Investment Cost [kEUR];OM Cost [kEUR];Replace Cost [kEUR];Total Cost [kEUR];Energy Demand [MWh];Energy Produced [MWh];LCOE [EUR/kWh];CO2 [kg];Unavailability [MWh/y]
C1;0;125;0;80;150;169.9376;304.2267;521.4135;140.472;918.1296;5411.0409;5147.1086;0.1784;2164987.313;17.5362
C2;0;19;0;16;41;25.9936;57.6094;56.6728;25.8375;132.4975;712.3528;678.6484;0.1952;223891.9183;2.287
C3;0;135;0;96;145;183.1512;328.5174;596.1882;151.6601;1024.4765;6020.6135;5726.0827;0.1789;2484877.834;19.4497
C4;0;153;0;96;196;219.4103;379.4123;621.9487;173.6792;1115.3902;6543.7607;6224.2453;0.1792;2575538.103;21.1458
C5;0;58;0;32;101;97.201;156.4496;195.7155;70.4759;398.7624;2260.9494;2153.2196;0.1852;791953.8856;7.2533
C6;0;633;0;432;668;836.2579;1511.5606;2746.9092;691.0179;4708.7988;27885.6494;26517.1207;0.1776;11457309.2;90.3548
C7;0;124;0;80;148;171.9533;303.1418;522.9213;141.5468;919.6241;5396.7019;5133.0912;0.1792;2170251.995;17.463
C8;0;100;0;64;129;141.3633;248.9714;406.7136;115.4521;732.1756;4277.9599;4070.0312;0.1799;1683198.532;13.829
C9;0;43;0;32;68;68.7852;117.5496;160.9956;52.9841;314.1682;1763.6497;1679.1916;0.1871;657259.669;5.6316
C10;0;66;0;32;126;112.3181;179.3138;203.3905;79.5781;435.188;2478.4822;2360.7143;0.1843;816228.8123;7.9649
C11;0;79;0;64;95;110.2805;203.3111;361.8855;96.669;631.094;3633.5388;3455.0962;0.1827;1503659.118;11.6672
C12;0;19;0;0;69;29.5235;58.0976;6.6051;21.0482;78.1036;399.0609;381.5923;0.2047;0;1.3255
C13;0;157;0;112;173;206.9776;381.8539;673.1692;173.9028;1169.1054;6877.8162;6542.4677;0.1787;2802644.601;22.2559
C14;0;131;0;96;147;173.078;322.5604;585.886;150.1995;1008.4985;5925.0488;5635.0863;0.179;2441042.711;19.153
C15;0;78;0;48;110;107.8086;196.2296;315.6335;93.7926;575.3628;3352.169;3189.3421;0.1804;1302114.63;10.8648
C16;0;91;0;64;100;127.3281;222.5839;391.0178;103.9522;682.3644;3975.4634;3781.8628;0.1804;1624648.712;12.8226
C17;0;219;0;144;254;296.0418;531.8002;929.1493;245.684;1622.5666;9578.7483;9111.5452;0.1781;3864609.575;31.0285
C18;0;150;0;112;160;199.851;366.5078;655.9344;166.3531;1131.5745;6647.3443;6323.2087;0.179;2734680.469;21.4634
C19;0;43;0;32;61;69.2751;114.7305;168.6775;52.053;318.1252;1799.6959;1712.9474;0.1857;692844.1777;5.7441
C20;0;151;0;112;159;202.9328;368.74;663.7518;167.6665;1142.2758;6715.2971;6388.5488;0.1788;2768673.487;21.6762
C21;0;74;0;48;104;99.1392;186.2319;297.0346;88.2269;543.1483;3160.1337;3007.5541;0.1806;1225989.237;10.2469
C22;0;74;0;48;105;98.859;187.0059;292.8009;87.6046;539.0222;3138.95;2987.5084;0.1804;1207282.484;10.18
C23;0;77;0;48;105;105.1532;191.6498;310.0296;91.7688;563.9055;3285.4824;3126.2344;0.1804;1280069.112;10.653
C24;0;42;0;32;71;66.9654;117.9271;157.845;53.7849;312.441;1743.5017;1660.5446;0.1882;642509.1086;5.5645
C25;0;41;0;32;68;54.9293;111.3489;150.5478;50.4667;296.6264;1675.0265;1594.4058;0.186;613899.7856;5.3984
C26;0;21;0;16;47;28.5022;62.1039;60.042;28.3489;142.3742;764.5341;728.6677;0.1954;234789.148;2.4641
C27;0;19;0;16;44;25.4416;57.7285;48.3642;24.4001;123.098;656.9261;626.0753;0.1966;187852.9843;2.1116
C28;0;309;0;208;332;410.1784;740.2363;1319.6494;337.5836;2279.5351;13457.6294;12798.6414;0.1781;5497290.993;43.6115
C29;0;26;0;0;97;40.7099;81.2223;9.2312;29.3986;109.155;557.3066;532.9034;0.2048;0;1.8498
C30;0;67;0;48;101;94.5118;176.3572;253.6037;79.2198;483.0222;2770.3801;2638.2655;0.1831;1040712.552;8.926
C31;0;67;0;48;98;102.7267;177.7645;260.6529;79.0908;490.6995;2816.7307;2681.8691;0.183;1072620.746;9.0281
C32;0;75;0;48;103;100.7959;187.961;302.0524;88.9966;550.1351;3197.6092;3042.9649;0.1808;1246880.874;10.3706
C33;0;75;0;48;102;101.8933;187.8586;307.7858;90.174;556.8825;3242.2079;3084.7748;0.1805;1271687.174;10.5079
C34;0;60;0;32;108;100.8772;161.8704;197.4093;72.757;407.4981;2310.3601;2200.1246;0.1852;797035.1421;7.4159
C35;0;92;0;64;103;129.7913;225.912;390.4449;104.2732;684.9627;3990.0887;3795.8439;0.1805;1621898.379;12.8676
C36;0;43;0;16;96;62.6837;116.5084;110.957;51.7912;262.2993;1503.167;1432.2632;0.1831;435629.158;4.9132
C37;0;123;0;80;146;169.3063;300.8901;520.4433;140.691;914.4156;5377.9539;5115.3494;0.1788;2160889.915;17.4064
C38;0;26;0;16;48;43.5144;73.0989;90.686;33.4633;186.3709;1039.8855;991.2424;0.188;366758.8706;3.3277
C39;0;65;0;32;125;107.9616;177.4582;202.0211;79.2192;431.986;2463.5686;2346.5697;0.1841;810600.5658;7.9284
C40;0;89;0;64;95;123.8397;217.4686;388.5485;102.2135;673.8825;3924.1052;3732.9107;0.1805;1615665.458;12.6524
C41;0;65;0;32;126;111.3717;177.8581;196.6633;78.5045;426.264;2408.7062;2294.3576;0.1858;786848.5417;7.7344
C42;0;371;0;256;404;491.5853;894.4761;1623.5164;412.5317;2789.067;16511.357;15702.6267;0.1776;6769811.984;53.4709
C43;0;137;0;96;149;186.696;333.8325;597.0687;153.6777;1031.7042;6072.877;5775.9642;0.1786;2486495.952;19.6224
C44;0;78;0;48;112;107.1702;196.9572;310.4467;93.5994;570.7799;3324.8112;3163.4313;0.1804;1278918.323;10.7803
C45;0;68;0;48;99;111.2392;182.1798;267.0181;80.8084;502.2647;2892.4187;2753.298;0.1824;1099738.725;9.2366
C46;0;30;0;16;59;50.9301;83.3889;96.4997;38.7186;206.2431;1149.6046;1095.1845;0.1883;385542.8284;3.6875
C47;0;24;0;16;46;33.1067;66.1095;78.2305;30.726;165.7426;927.445;883.3903;0.1876;313894.788;2.9991
C48;0;77;0;48;112;105.5055;194.2206;309.0349;93.1624;566.8521;3304.1163;3144.4396;0.1803;1273207.61;10.7111
C49;0;58;0;32;105;97.5872;158.775;196.7108;72.013;403.5087;2298.2182;2188.566;0.1844;795108.6836;7.3709
C50;0;45;0;32;62;67.6955;117.3908;185.1584;55.425;340.0574;1954.3;1860.0868;0.1828;763201.3913;6.2728
C51;0;20;0;16;47;27.6316;61.223;59.8743;27.7064;140.8304;757.109;722.0175;0.1951;235062.9025;2.4336
C52;0;26;0;16;51;37.7541;72.0749;80.7199;32.6872;175.1995;983.4432;937.5636;0.1869;322751.6595;3.1771
C53;0;43;0;32;59;70.0174;114.8784;173.1152;52.4102;322.8319;1828.8358;1741.576;0.1854;712845.1923;5.8333
C54;0;37;0;16;78;64.0161;102.5321;102.7496;45.8551;235.893;1317.3738;1255.1599;0.1879;405085.9222;4.2379
C55;0;40;0;16;89;69.486;112.5769;109.0067;50.173;255.0133;1444.6914;1376.5325;0.1853;428914.9253;4.6526
C56;0;58;0;32;105;97.6349;158.1447;196.0038;71.8154;402.078;2289.9969;2180.7066;0.1844;792114.693;7.3442
C57;0;34;0;16;71;59.1137;95.5871;100.0783;43.4116;224.9019;1259.1016;1199.8059;0.1874;395968.1564;4.0424
C58;0;36;0;16;77;62.7395;100.6351;102.6224;45.2987;233.6113;1313.5253;1251.6876;0.1866;405452.712;4.2211
C59;0;164;0;112;184;226.1629;399.4171;698.7434;181.9536;1216.9524;7161.1562;6811.2473;0.1787;2908298.803;23.1404
C60;0;95;0;64;116;137.4276;236.4278;393.6742;109.6446;702.6792;4082.6786;3884.3065;0.1809;1630452.33;13.158
C61;0;32;0;16;66;55.0404;90.0073;97.83;41.3881;215.9341;1204.467;1147.8546;0.1881;388268.9784;3.8653
C62;0;102;0;80;115;133.1738;254.5411;464.3434;120.6672;800.5904;4689.8182;4461.5051;0.1794;1935506.091;15.1353
C63;0;24;0;16;53;34.2073;69.2078;73.4596;31.6357;164.9254;909.9121;866.6915;0.1903;290877.4527;2.9363
C64;0;108;0;80;125;145.5546;268.3165;475.0415;124.8981;826.8018;4820.2725;4584.7604;0.1803;1976283.113;15.5573
