ID,MV_Power
20237.0,0.0385
20257.0,0.0104
23290.0,0.0399
26904.0,0.0598
20463.0,0.0
20455.0,0.0169
24626.0,0.0415
29777.0,0.009699999999999999
27066.0,0.0339
27707.0,0.0515
29821.0,0.0144
29891.0,0.011
27618.0,0.0
27616.0,0.0405
29909.0,0.0507
29967.0,0.0975
25555.0,0.0
25557.0,0.0
20715.0,0.0434
20724.0,0.0127
25133.0,0.0905
30030.0,0.016
26603.0,0.0
25019.0,0.0288
30117.0,0.0237
30137.0,0.0395
27557.0,0.08209999999999999
30178.0,0.027
24639.0,0.0
25367.0,0.0
24645.0,0.0346
25355.0,0.023100000000000002
25377.0,0.039
25393.0,0.07529999999999999
25409.0,0.033100000000000004
25427.0,0.014
30271.0,0.0439
27585.0,0.0
27594.0,0.0192
30410.0,0.030100000000000002
30419.0,0.023899999999999998
30432.0,0.030100000000000002
30475.0,0.0285
30478.0,0.0507
30442.0,0.0
25102.0,0.0169
28134.0,0.0325
28678.0,0.019600000000000003
25195.0,0.0
25188.0,0.047799999999999995
25244.0,0.0405
25254.0,0.027600000000000003
25268.0,0.043
25289.0,0.0255
25339.0,0.0
25333.0,0.030199999999999998
25346.0,0.0156
26571.0,0.0144
26589.0,0.026699999999999998
25304.0,0.0
26515.0,0.0255
26520.0,0.0176
30744.0,0.0192
30755.0,0.023899999999999998
25235.0,0.0208
30787.0,0.0694
30828.0,0.0298
30830.0,0.0181
20085.0,0.0412
20090.0,0.004900000000000001
28184.0,0.021
30894.0,0.0181
24426.0,0.0
25972.0,0.0
21476.0,0.0
21494.0,0.0
23485.0,0.013900000000000001
23502.0,0.0362
23513.0,0.0207
23549.0,0.0247
25975.0,0.0619
28199.0,0.013900000000000001
28211.0,0.054700000000000006
28295.0,0.0125
28307.0,0.0247
31082.0,0.031100000000000003
31094.0,0.019399999999999997
31140.0,0.0273
31153.0,0.0286
31142.0,0.0
31193.0,0.015300000000000001
24695.0,0.0
24701.0,0.0
24707.0,0.0
25705.0,0.0
20335.0,0.0174
25704.0,0.0218
25719.0,0.023100000000000002
28689.0,0.0144
28701.0,0.0156
28745.0,0.0314
28773.0,0.0418
23653.0,0.0
23652.0,0.0167
23692.0,0.0498
31208.0,0.0096
23664.0,0.0
23698.0,0.004900000000000001
31256.0,0.0221
31266.0,0.0298
31283.0,0.0111
31290.0,0.0096
27677.0,0.0399
31304.0,0.0298
31317.0,0.0181
21131.0,0.0
31354.0,0.0144
31379.0,0.0192
31384.0,0.0316
31389.0,0.023899999999999998
22548.0,0.0273
22555.0,0.0362
22387.0,0.0273
22472.0,0.0461
22486.0,0.0362
22510.0,0.015300000000000001
31525.0,0.026
23611.0,0.0565
31559.0,0.0346
31610.0,0.0565
31644.0,0.0286
28439.0,0.033100000000000004
31668.0,0.0346
23232.0,0.0
26857.0,0.0
23237.0,0.0209
24912.0,0.0223
26385.0,0.0854
28886.0,0.030100000000000002
28921.0,0.0209
19916.0,0.0
19910.0,0.0464
26805.0,0.030100000000000002
31695.0,0.023899999999999998
31732.0,0.0074
31760.0,0.0346
31787.0,0.0316
22841.0,0.0
22859.0,0.0
22865.0,0.0
22879.0,0.0
23030.0,0.0
23074.0,0.0
28178.0,0.0
22848.0,0.0176
22862.0,0.0434
22874.0,0.0565
22929.0,0.0224
22975.0,0.023899999999999998
23046.0,0.0316
23061.0,0.0679
23092.0,0.0316
23108.0,0.0434
31822.0,0.0208
31858.0,0.0434
31870.0,0.011
31950.0,0.027
31959.0,0.0127
22797.0,0.0
22800.0,0.0
22815.0,0.0
22794.0,0.0361
22808.0,0.0127
22822.0,0.023899999999999998
27284.0,0.044899999999999995
32113.0,0.0316
32136.0,0.0176
22833.0,0.0
27502.0,0.0594
27523.0,0.0192
32167.0,0.0127
32209.0,0.0316
32238.0,0.047799999999999995
32250.0,0.0316
32274.0,0.0255
22061.0,0.0
27449.0,0.027
32292.0,0.0255
32310.0,0.0144
32322.0,0.023899999999999998
21824.0,0.0285
32351.0,0.0346
20410.0,0.062
27391.0,0.0536
32405.0,0.0208
32416.0,0.027
22493.0,0.0349
32429.0,0.015300000000000001
32466.0,0.0362
32486.0,0.0127
32495.0,0.027
32516.0,0.0405
32531.0,0.0224
32543.0,0.0346
32575.0,0.0361
20130.0,0.0
20132.0,0.0
20149.0,0.0
20153.0,0.0
26925.0,0.033600000000000005
32615.0,0.0298
32620.0,0.004900000000000001
32625.0,0.047299999999999995
32663.0,0.0221
32677.0,0.0247
32682.0,0.0096
32702.0,0.0247
20188.0,0.0
20275.0,0.0
20486.0,0.0
20490.0,0.0
20492.0,0.0
20515.0,0.0
20646.0,0.0
25531.0,0.0
27700.0,0.0
20181.0,0.024300000000000002
20283.0,0.0349
20295.0,0.0429
20427.0,0.0206
20500.0,0.0598
20507.0,0.023100000000000002
20514.0,0.0587
20627.0,0.036
25032.0,0.019399999999999997
25172.0,0.045200000000000004
25513.0,0.037200000000000004
25528.0,0.0665
26888.0,0.019399999999999997
27083.0,0.030199999999999998
27695.0,0.037200000000000004
27728.0,0.038299999999999994
27951.0,0.011699999999999999
27980.0,0.036
29090.0,0.0144
29208.0,0.0325
29257.0,0.0181
29269.0,0.0314
29342.0,0.027800000000000002
23138.0,0.0273
32725.0,0.0349
32733.0,0.037399999999999996
32764.0,0.0125
32753.0,0.0
21910.0,0.033100000000000004
21942.0,0.0
