ID1,ID2,Cost
23290,20335,9709.181901416114
20257,28921,14348.105434586323
20257,20410,11403.122065808526
20257,20295,45092.448229064816
20257,24981,14234.827564054585
20257,20666,26704.35326529295
20257,23251,43966.5359772196
20257,20455,75045.62239198796
20257,29821,53761.73137272039
20257,29909,54562.98345929039
20257,20715,67002.15690143804
28678,29891,73992.54557171628
28678,20090,85915.56231351577
28678,30894,73190.16462977072
28678,31193,67697.07655820357
28678,23652,95547.53486740118
20335,26385,28617.80213792592
20335,20410,30315.882713174826
20335,20295,64005.20887643111
20335,24981,45557.434596816514
20335,20666,45617.11391265924
20335,23251,75289.14300998152
20335,29821,72674.49202008668
20335,29909,73475.74410665668
28921,20410,18801.229798034707
28921,20295,41593.60948980743
28921,24981,11851.471018582137
28921,20666,24062.370519593038
28921,23251,30849.373366433734
23237,20455,57781.64282088013
28921,29821,50262.89263346299
28921,29909,52020.38102919574
28921,20715,64459.55447134339
28921,24645,85487.59527537887
28921,30410,83871.30333898237
28921,25102,90808.93549280225
20410,20295,33689.326163256315
20410,24981,17214.106535012877
20410,20666,15301.231199484426
20410,23251,47519.66034066798
20410,29777,85019.83110425732
20410,29821,42358.60930691186
20410,29909,43159.86139348188
20410,20715,55599.034835629514
20410,24645,84435.58955679844
20410,30410,75010.78370326849
20410,25102,82904.65216625115
20295,26991,31336.317955604805
20295,20319,13608.411896633032
29208,23251,72116.59310892812
29208,20455,96035.68773303836
29208,29821,13912.263005712137
27728,29909,38941.29915313327
20507,20724,59584.231377241886
25032,27557,93721.23362545637
27980,24645,46901.33974650218
25032,30410,58218.15952137421
27980,25102,32227.894129859586
27980,25339,74616.98050306317
26991,20666,8491.318022969108
29622,23251,24613.01614758268
29622,29777,59191.28801567849
26991,29821,37155.32186622773
26991,29909,39659.15661712658
29622,20715,57551.66304067353
26991,27557,112015.86026048448
26991,24645,74604.38055928178
29622,30410,81007.65288668843
26991,25102,70849.08711759633
20666,23251,50608.75140688953
29729,29777,83119.48002007446
29731,29821,17447.455257059642
29729,29909,27307.913882660887
29729,20715,39747.08732480853
29729,27557,99664.6175260188
29729,24645,59422.03787129199
29729,30410,59158.83619244753
29729,25102,57891.10048074469
26648,20455,26516.254593195226
23251,27707,51758.50143368779
26648,29891,102789.65901876094
26648,29909,48967.113212577635
26648,30030,44814.20206492736
26648,30117,56882.98405696973
26648,30178,67414.65063364962
26648,24645,79220.97825117398
26648,30410,63697.768340625706
26648,25102,87567.71495064133
26648,25188,69828.23903142048
20455,27707,80832.27915672553
24626,29891,67211.09650586652
20455,27616,71661.06039076037
20455,30030,52028.17259253712
24626,30117,50544.949649444025
20455,30178,54963.22809057919
20455,24645,83055.97316394954
20455,30419,59159.87376073325
20455,25102,103237.60931228694
20455,25188,73704.89382802282
24626,26520,66294.21780346743
27707,29909,26729.65440547824
27066,20724,42150.652076147664
27066,27557,78054.99435931891
27066,24645,26931.226683309018
27066,30410,42551.920255236764
27066,25102,25400.289292761732
27066,25244,81113.44267834691
27066,25339,54228.29530390023
29891,26603,66125.10255092822
29891,27284,87569.33126598505
27616,20724,10255.39656734827
27616,26603,118314.17958374372
27616,27557,66528.68403464265
27618,24645,30468.633414683867
27616,30410,26022.902701071358
27618,25102,39064.90970389496
27616,25244,63936.074811416736
27618,25339,57765.70203527509
27616,26520,92819.48056766897
30030,26603,84994.53747935237
25133,27557,55169.18459572577
20724,24645,22647.347836733497
20724,30410,15767.50613372309
20724,25102,33095.045769111166
25133,25244,52576.57537249988
20724,25339,53227.7267862788
25133,26520,81459.98112875213
26603,30178,48645.491344338036
26603,25409,84579.03985880001
26603,30475,71363.86326723816
26603,25268,37912.38289836171
26603,26520,47739.53665593012
26603,25235,71981.64955371832
26603,22794,64337.42752668447
26603,22833,93192.58001233707
27557,25409,41181.77638937951
27557,30475,19578.367718137106
27557,25102,68211.61323150594
27557,25188,8987.056494162218
27557,25339,68251.33696075882
27557,26520,38402.52704970168
27557,25235,67306.30515130008
30178,22794,111802.42124537833
24645,30410,19596.17493596211
24645,25102,16005.629271565034
25409,25244,36071.617015485586
25355,25339,7435.9289465603115
25409,30744,72398.19377665722
25409,25235,94071.86904830158
30410,25102,31480.440195296138
30475,25244,22908.24278761354
27594,25339,38379.52789177348
30475,26520,51791.648543865784
30475,25235,80695.42664546412
25102,25244,71270.06155053392
28134,25339,38333.70615070539
25244,25339,71309.78527978684
25289,30744,17495.101336218937
25289,25235,38955.70843289792
25289,22794,141242.64736372454
25289,22833,174402.7713825975
25339,25304,110548.1679780534
26515,25235,18404.469056291637
25304,22800,132901.7898920886
30755,22833,165025.8928130495
25235,22800,159596.29045506858
30787,32167,162900.31537656966
30830,30894,170782.38778799426
30830,31208,156473.06102736786
30830,31256,150651.49072964257
30828,31644,247061.9279433153
30830,32677,51055.71698196328
30830,23138,14159.918816939831
20090,30894,39075.350592134695
20090,31193,24129.55337874934
20090,23652,51812.554794725125
20090,23698,59517.777396051766
20085,27677,93695.52945060504
20085,22486,81123.06168003683
20085,22510,83907.8224375076
20085,32429,79647.41282108054
20085,32466,93992.7908117527
20090,32682,45077.55554239688
20090,32733,99900.6358999042
20085,33225,115501.51711696756
20085,26230,97141.61358523078
28184,32543,77782.56162132049
28184,32575,72973.97674704394
28184,32888,41987.690161732215
30894,31193,26310.82508125079
30894,23652,25914.44542737776
30894,23698,33619.6680287044
30894,31354,93697.30044905943
30894,32429,125333.62324072803
30894,32682,79115.11612100471
30894,32733,133938.19647851205
31153,31304,22061.727187371493
31082,22472,75101.04531264289
31082,22510,98344.72670306043
31082,22493,86054.24816665988
31153,32466,31414.68027662152
28199,23412,9399.593723071397
28199,23398,21451.2509201182
28199,33139,48440.5303447037
25975,33193,28673.470937457147
25975,26249,51544.725332300935
25975,26059,76380.8441772373
31193,23652,39041.8595831994
31193,23698,46747.082184526036
31193,22486,115091.07441101232
31193,22510,117875.83516848313
31193,32429,113615.42555205607
31193,32466,106754.68666334623
31193,32682,67396.91843233275
31193,32733,122219.9987898401
31208,23698,2000.5279375788518
23692,31354,99000.43677716466
23692,28439,131116.77949239055
23692,31695,145900.14872322365
23652,32682,91852.32032359515
23652,32733,149510.38699340937
31290,31354,102702.86662240543
31290,31559,178805.82649400516
31290,31668,144411.07335495108
31290,31695,167478.85318046383
23698,32682,109357.3392999506
23698,32733,164180.41965745788
27677,22387,26768.77137040778
27677,22510,53606.74323654002
27677,22493,41316.26470013949
27677,32466,18960.61670506185
31317,26925,116568.89439066492
31304,23412,49207.28334667869
31304,23398,61258.9405437255
31304,33139,88248.21996831098
31317,22449,36160.466222153154
27677,26230,40768.425193506366
27677,33725,108330.09305433859
31389,31559,55633.19779700167
31389,28439,21403.823939010526
31389,31695,32580.099364114903
31389,31760,46240.67815249699
31389,22929,51195.185676332316
22555,31644,94581.5406923105
22555,22610,50312.13201309579
22555,33473,78921.9072813627
22555,33600,56480.55253740508
22555,33762,71543.16742083295
22555,26736,97801.87594379377
22486,22510,21634.175049449328
22486,22493,9343.696513048797
22387,32466,18663.649372617638
22486,26925,84091.54309354571
22387,23412,97422.02686502914
22387,23398,109473.68406207596
22472,33225,28406.55890924976
22472,26230,10046.655377512994
22472,33725,77608.32323834523
22472,21038,104516.25370486072
22472,26087,81736.40314962305
22472,33870,124114.36724703465
22510,32429,7483.904709118735
22510,32466,45501.62123874988
22510,26925,86876.3038510165
22510,32733,138510.47731316535
22510,23412,124259.99873116137
31525,33225,36892.52684127451
31525,26230,16468.80932900259
31525,33725,74916.49188758938
31525,21038,101824.4223541049
31525,26087,90222.3710816478
31525,33870,121422.5358962788
31559,28439,48763.404959468695
31559,31732,9777.396813871848
31559,31760,60349.296376958475
31559,23030,81912.2766946984
31644,23138,271942.2579377468
31644,22160,74962.04903716629
31644,33614,101620.84555210348
31644,33742,71429.87844064296
31644,26736,34553.054892841945
28439,31695,25387.35121197973
31668,31760,18027.57059818566
28439,22929,28672.824660033628
31695,31760,45345.720598158965
26805,23030,62589.458343301376
31787,22929,13249.834814630562
31950,27284,198391.46586473857
22822,22833,12616.394225004173
32238,32250,53808.369898866644
32238,32274,299422.5278554914
32238,32292,103041.71105238648
32238,32351,104770.91918102684
32238,27391,342568.840480842
32238,32405,68024.17535307024
32250,32292,80630.59034560152
32250,32351,104822.18564372645
32250,32405,64347.519754411966
32274,32351,131448.78772224992
32274,27391,13041.10070793951
32310,32351,25134.043467314903
32292,32405,55718.28702805888
32322,32416,99614.36064378648
32351,32405,69633.0809086957
32351,32416,102007.8910635642
32405,32416,155365.3866696335
32416,32486,94583.36667181329
32416,32516,96420.48986714988
32416,21910,105802.34129455773
32416,21954,82605.33053018244
22493,32466,33211.14270234935
32429,26925,82615.89423458945
32429,32733,134250.0676967383
22493,23412,111969.52019476084
22493,33225,43722.151949979525
22493,26230,25362.24841824277
22493,33725,92923.916279075
22493,21038,119831.8467455905
22493,26087,97051.99619035287
22493,33870,139429.96028776446
32466,26925,114355.95421863654
32466,23412,58560.236435928724
32466,23398,70611.89363297555
32466,33139,97601.17305756104
32466,22449,41987.10519643438
32466,26230,32663.30319571623
32486,32531,16152.571860152304
32486,32543,70252.73164314243
32486,32575,60398.71391360435
32486,21910,67314.43127977112
32486,21672,35578.42141548703
32516,32543,45200.427954335995
32516,32575,35346.41022479792
32516,21910,54586.29744443506
32516,21672,22850.28758015096
32516,32888,85391.80590260637
32543,32575,14065.444589172404
32543,21910,69160.32964125134
32543,27418,38389.421292644314
32543,32888,59647.07441216867
32575,21910,72434.56211007509
32575,27418,41663.653761468086
32575,32888,57670.21669481219
32677,32733,9281.119148220334
26925,33225,118469.99853047644
26925,26230,100110.09499873967
26925,33725,138919.8100093249
20149,21038,115739.04261411795
20149,22133,131650.59158556422
20149,26087,142450.51195829315
20149,28313,115884.2614698728
32733,21038,154392.90554405976
32733,22133,174968.83604773396
32733,28313,154538.1243998146
21910,21930,11354.287080845344
21910,22013,91167.24355972416
27418,32888,93882.3080245374
23402,23398,5332.061238550489
23402,33139,32321.340663135987
23412,33193,77390.13794645331
23412,26230,111421.68068812767
24559,33139,5842.2675782206725
23398,33193,89441.79514350012
22610,33473,63771.3632708805
22610,33600,41330.00852692286
33168,33762,49202.95412649588
33225,26249,6717.428978387762
33225,33725,56218.56775712967
33225,26197,74558.46050019845
33225,26087,66764.70219714883
33225,33870,102724.61176581908
26249,33725,47219.45534767534
26249,21038,76340.82646618888
26249,26087,60047.27321876108
33297,33870,100807.99686872713
25804,22237,15599.131212022405
22749,33751,36515.54214823531
25804,26751,87139.57060110506
22160,33742,15775.960306792884
22160,21038,83011.0520468333
22160,22133,50673.51501690344
22160,33839,95879.55602024963
22160,33870,67006.2420215533
22160,26751,33806.002007867784
33614,33742,80058.11750314823
33576,33751,63155.65434756993
33614,26751,65519.57777748777
21001,21038,23379.433081172985
21001,22133,43723.830755485134
21001,26087,10698.773454348571
21001,33870,36850.625559278764
33742,22133,69313.09108546881
33742,33870,85645.81809011872
33742,26751,27904.96024567112
21038,22133,25397.77671269419
26197,26087,11322.613603664608
21038,33870,18524.571516487813
22133,33839,45314.52224569559
22133,33870,14638.505947853868
22133,26751,84479.51702477121
33839,33870,41777.50004959582
33870,26751,100812.2440294211
20257,33921,83160.53114762105
23290,33924,39357.70598015536
28678,33915,95864.55561339026
28678,33916,84553.8686436202
28678,33917,82646.71301572719
28678,33918,63630.7027982741
28678,33919,38565.46531201076
28678,33920,88812.23551630948
28678,33921,86373.87179952144
25719,33921,108682.4809246829
28689,33923,84882.59522388277
20335,33924,34617.836988682015
28886,33921,63159.65327899315
26385,33924,43116.763163246345
