ID1,ID2,Length,Cost,Cluster,geometry,Conn_param
20251,20250,0.044703449927274,447.03449927274,1,"LINESTRING (-132398.4996644338 3181425.631000349, -132388.9593783598 3181382.197188084)",1
20251,20252,0.042167516247591,421.67516247591,1,"LINESTRING (-132398.4996644338 3181425.631000349, -132401.8163799892 3181467.319993522)",1
23297,23296,0.041132352673952,411.32352673952005,1,"LINESTRING (-132216.7344624651 3180351.487074252, -132220.6975323005 3180310.546086062)",2
23297,23298,0.050766860954309,507.66860954309,1,"LINESTRING (-132216.7344624651 3180351.487074252, -132204.0500027142 3180400.643748793)",2
23298,23299,0.03132278798516,313.2278798516,1,"LINESTRING (-132204.0500027142 3180400.643748793, -132194.1269809154 3180430.353186444)",2
23299,23300,0.030561036286953,305.61036286953,1,"LINESTRING (-132194.1269809154 3180430.353186444, -132179.575273435 3180457.227425938)",2
23300,23301,0.047365083676116,473.65083676116,1,"LINESTRING (-132179.575273435 3180457.227425938, -132156.4852534167 3180498.583225134)",2
23301,23302,0.006856653304075,68.56653304075,1,"LINESTRING (-132156.4852534167 3180498.583225134, -132154.3884990189 3180505.111419029)",2
23302,26912,0.035204415074751,352.04415074751,1,"LINESTRING (-132154.3884990189 3180505.111419029, -132185.6211646498 3180521.141975344)",2
23296,23295,0.041265783705792,412.65783705792,1,"LINESTRING (-132220.6975323005 3180310.546086062, -132220.003247137 3180269.286143345)",2
20237,20238,0.0377429110561,377.42911056099996,1,"LINESTRING (-132202.64088851 3180868.934702649, -132223.6692841465 3180899.793864099)",1
20237,26911,0.014675126989423,146.75126989423,1,"LINESTRING (-132202.64088851 3180868.934702649, -132208.2762889713 3180855.38473535)",0
20238,20239,0.051831667615978,518.3166761597801,1,"LINESTRING (-132223.6692841465 3180899.793864099, -132254.2389937188 3180941.393220924)",1
20239,20240,0.053772518168975,537.72518168975,1,"LINESTRING (-132254.2389937188 3180941.393220924, -132290.300002162 3180981.248007884)",1
20240,20241,0.047554271460286,475.54271460286,1,"LINESTRING (-132290.300002162 3180981.248007884, -132313.0311409717 3181023.013452669)",1
20241,20242,0.053936170239975,539.36170239975,1,"LINESTRING (-132313.0311409717 3181023.013452669, -132313.7386311735 3181075.958571945)",1
20242,20243,0.043429880528559,434.29880528559,1,"LINESTRING (-132313.7386311735 3181075.958571945, -132295.2979092959 3181114.927957377)",1
20243,20244,0.065602127031902,656.02127031902,1,"LINESTRING (-132295.2979092959 3181114.927957377, -132292.1816375919 3181180.213017194)",1
20244,20245,0.030355512029031,303.55512029031,1,"LINESTRING (-132292.1816375919 3181180.213017194, -132297.0293050489 3181210.178951699)",1
20245,20246,0.038487458504892,384.87458504892,1,"LINESTRING (-132297.0293050489 3181210.178951699, -132307.1699816839 3181247.255941826)",1
20246,20247,0.047733892646806,477.33892646806,1,"LINESTRING (-132307.1699816839 3181247.255941826, -132329.7704578507 3181289.286049218)",1
20247,20248,0.037167564307198,371.67564307198,1,"LINESTRING (-132329.7704578507 3181289.286049218, -132348.5794940754 3181321.0293532)",1
20248,20249,0.034420501097592,344.20501097592,1,"LINESTRING (-132348.5794940754 3181321.0293532, -132367.425360104 3181349.524825148)",1
26905,26904,0.052911467111691,529.11467111691,1,"LINESTRING (-132300.1195823844 3180698.393007067, -132302.5962627218 3180645.539535976)",0
26905,26906,0.038968561376107,389.68561376107,1,"LINESTRING (-132300.1195823844 3180698.393007067, -132302.1787640703 3180737.307124641)",0
26906,26907,0.037985959008762,379.85959008761995,1,"LINESTRING (-132302.1787640703 3180737.307124641, -132297.9994881661 3180774.89759845)",0
20249,20250,0.039455522313456,394.55522313456,1,"LINESTRING (-132367.425360104 3181349.524825148, -132388.9593783598 3181382.197188084)",1
26907,26908,0.031733087090215,317.33087090215,1,"LINESTRING (-132297.9994881661 3180774.89759845, -132297.0136989317 3180806.615370059)",0
20254,20253,0.033016177403689,330.16177403689,1,"LINESTRING (-132415.713052905 3181538.33070049, -132395.1362066054 3181513.451740876)",1
20254,20255,0.036825041024206,368.25041024206,1,"LINESTRING (-132415.713052905 3181538.33070049, -132451.6436055265 3181543.927945742)",1
26911,26910,0.045372814887145,453.72814887145,1,"LINESTRING (-132208.2762889713 3180855.38473535, -132230.5879349997 3180818.000181665)",0
20255,20256,0.034907205438578,349.07205438577995,1,"LINESTRING (-132451.6436055265 3181543.927945742, -132485.7295051495 3181551.067475341)",1
