,Cluster,Sub_cluster,Population,Load [kW],Grid_Length [km],Grid Cost [euro],Max length [km],Transformer_rated_power [kVA],Cost[euro]
0,1.0,0.0,122,39.801813044155594,1.4580631625479668,14580.631625479667,0.4243518226861548,50,1500
0,1.0,1.0,25,10.355128666418103,0.75740532757392,7574.053275739199,0.3309411660700869,50,1500
0,1.0,2.0,193,59.78951290479233,1.9899516126405539,19899.51612640554,0.4141298765678281,100,2100
0,1.0,3.0,117,38.40209756842302,1.267401319780913,12674.013197809132,0.3412014318087298,50,1500
0,2.0,0.0,53,19.529791507921434,0.7606036032831514,7606.036032831514,0.33901689239237304,50,1500
0,3.0,0.0,65,23.000641414376076,1.07884427570719,10788.442757071902,0.4095192927957236,50,1500
0,3.0,1.0,93,31.32500964889484,1.114707699834082,11147.076998340819,0.36341024108369957,50,1500
0,3.0,2.0,129,41.732274063155614,1.1425369768617502,11425.369768617502,0.4742607669511604,50,1500
0,3.0,3.0,37,14.304295885466793,0.6302547145096515,6302.547145096515,0.408711192009727,50,1500
0,3.0,4.0,61,21.78716633894918,1.083393336977461,10833.933369774611,0.407666154784594,50,1500
0,3.0,5.0,41,15.582013462782196,0.3248528137423857,3248.528137423857,0.10242640687119285,50,1500
0,3.0,6.0,46,17.329133318597822,0.5834203618420601,5834.203618420602,0.210042683592078,50,1500
0,4.0,0.0,286,85.37046058836317,3.2049087665561773,32049.087665561772,0.5030664000925191,100,2100
0,4.0,1.0,62,22.21282708199591,0.9998276324382577,9998.276324382578,0.4189720138052822,50,1500
0,4.0,2.0,88,30.066984339217573,0.8016404805521508,8016.404805521508,0.30727922061357854,50,1500
0,4.0,3.0,58,20.876406343585597,0.7091261113599957,7091.261113599957,0.3375711671459605,50,1500
0,4.0,4.0,58,20.876406343585597,0.8160885598040575,8160.885598040574,0.23603000251910208,50,1500
0,5.0,0.0,201,61.98595982999539,2.5969249111811985,25969.249111811987,0.5179613956189891,100,2100
0,6.0,0.0,217,66.41960810303748,2.4219227256758806,24219.227256758804,0.4787978225826492,100,2100
0,6.0,1.0,193,59.76154947660442,2.2794226620786042,22794.226620786045,0.6097299438521933,100,2100
0,6.0,2.0,189,58.64731042672172,2.2834106036238033,22834.10603623803,0.45040801914146383,100,2100
0,6.0,3.0,109,35.98260658150754,1.5223190133147013,15223.190133147014,0.4386570922026427,50,1500
0,6.0,4.0,113,37.13838811770336,1.604039740837045,16040.39740837045,0.5348468032573009,50,1500
0,6.0,5.0,113,37.13838811770336,1.5032296341790652,15032.296341790652,0.5182174371082129,50,1500
0,6.0,6.0,109,35.98260658150754,1.2703019731993257,12703.019731993256,0.4516344394141655,50,1500
0,6.0,7.0,105,34.82357710254203,1.4858274796568645,14858.274796568643,0.4985868604836112,50,1500
0,6.0,8.0,133,42.87413289679446,1.7316808460364024,17316.80846036402,0.42243940644191097,50,1500
0,6.0,9.0,93,31.32500964889484,0.7665133753690098,7665.133753690097,0.31242640687119283,50,1500
0,6.0,10.0,89,30.150889526112042,1.0865887314321723,10865.887314321724,0.3141450260624575,50,1500
0,6.0,11.0,29,11.694761983116061,1.0322693039456885,10322.693039456884,0.41717987100460235,50,1500
0,6.0,12.0,57,20.565840081601298,0.9814296235543981,9814.296235543981,0.4087481818827791,50,1500
0,6.0,13.0,117,38.2910942377233,1.7662390790199798,17662.3907901998,0.4235339343815465,50,1500
0,6.0,14.0,53,19.335804801241462,0.8610509153935891,8610.509153935891,0.30546215331467197,50,1500
0,6.0,15.0,65,23.000641414376076,0.9992637128085637,9992.637128085638,0.5122595045270181,50,1500
0,6.0,16.0,37,14.304295885466793,0.5268890581410642,5268.890581410642,0.26010139133129906,50,1500
0,6.0,17.0,69,24.20699093495534,1.003759666298939,10037.596662989392,0.30345700211641413,50,1500
0,6.0,18.0,53,19.335804801241462,0.8106256307802675,8106.256307802675,0.3307452456028384,50,1500
0,6.0,19.0,49,18.096034037041157,0.39,3900.0,0.18,50,1500
0,6.0,20.0,81,27.789079162937167,0.8138697061347588,8138.697061347589,0.22950844619618652,50,1500
0,6.0,21.0,97,32.49499803409727,0.8288245515940427,8288.245515940427,0.2765946889519094,50,1500
0,6.0,22.0,141,45.150745725556014,1.2316309284035805,12316.309284035804,0.28586373431448503,100,2100
0,7.0,0.0,193,59.76154947660442,2.435178385948431,24351.783859484312,0.49215913404613293,100,2100
0,7.0,1.0,159,50.39904716488275,1.9758584761886515,19758.584761886515,0.6021321922091464,100,2100
0,7.0,2.0,62,22.21282708199591,0.509721143547437,5097.211435474371,0.21486832980505136,50,1500
0,7.0,3.0,41,15.582013462782196,0.36328050808244017,3632.8050808244016,0.10988307333897233,50,1500
0,8.0,0.0,165,51.930468919829885,2.206426669193153,22064.26669193153,0.4192185837396716,100,2100
0,8.0,1.0,65,23.000641414376076,0.9917318426335021,9917.31842633502,0.42902910836480135,50,1500
0,8.0,2.0,61,21.78716633894918,0.6492230777230181,6492.230777230182,0.29972114354743706,50,1500
0,8.0,3.0,57,20.565840081601298,0.7427809117985877,7427.809117985878,0.2616604406195806,50,1500
0,9.0,0.0,58,20.876406343585597,1.2903800341196578,12903.80034119658,0.40435822534810667,50,1500
0,9.0,1.0,80,27.47563566608923,1.3801211336074142,13801.211336074142,0.4358550119974185,50,1500
0,10.0,0.0,128,41.49969728091519,1.0483521890167047,10483.521890167047,0.35623686228231577,50,1500
0,10.0,1.0,44,16.80045857223973,0.7719989462134172,7719.989462134173,0.34254307983754423,50,1500
0,10.0,2.0,22,9.649663211549008,0.19242640687119286,1924.2640687119285,0.12,50,1500
0,11.0,0.0,163,51.46983677080464,1.8030226295396699,18030.2262953967,0.4216088696732086,100,2100
0,11.0,1.0,101,33.842601313442984,1.0580902120193154,10580.902120193155,0.34861737508505514,50,1500
0,11.0,2.0,37,14.304295885466793,0.3216202980940351,3216.2029809403507,0.14162029809403512,50,1500
0,12.0,0.0,26,10.940614126951678,0.5821478893491477,5821.478893491477,0.37816653826391966,50,1500
0,13.0,0.0,331,97.41879091988153,2.396300313110606,23963.00313110606,0.49455844122715714,160,2550
0,13.0,1.0,160,50.68584882807868,1.510233031343659,15102.33031343659,0.43495420507368476,100,2100
0,13.0,2.0,124,40.45687600804889,1.1121636645758566,11121.636645758566,0.377392525310765,50,1500
0,14.0,0.0,305,90.4406929115639,2.7706744744633367,27706.744744633364,0.4731443620680548,160,2550
0,14.0,1.0,135,43.39795546455129,1.56205707740585,15620.570774058499,0.3421904977829793,50,1500
0,14.0,2.0,31,12.64553370620413,0.44482592485792993,4448.259248579299,0.2526560428399614,50,1500
0,14.0,3.0,42,15.95635996723584,0.2348528137423857,2348.528137423857,0.12,50,1500
0,15.0,0.0,121,39.476513455054636,1.203020228179686,12030.20228179686,0.36901689239237306,50,1500
0,15.0,1.0,67,23.65202115667564,0.49609893171736674,4960.989317173668,0.1819348530673794,50,1500
0,15.0,2.0,84,28.7741918761874,1.1325706535883013,11325.706535883015,0.3191043476649924,50,1500
0,16.0,0.0,274,82.02892377057113,2.601004355849717,26010.043558497167,0.49686615935379314,100,2100
0,16.0,1.0,78,26.961980684472586,0.680987905444774,6809.879054447741,0.36856149857358117,50,1500
0,17.0,0.0,249,75.2883556760668,2.8679823320390696,28679.823320390697,0.45780338428538486,100,2100
0,17.0,1.0,104,34.519402083603886,1.1107888168802484,11107.888168802485,0.4570874002099382,50,1500
0,17.0,2.0,136,43.883412768600564,1.1271032884112802,11271.032884112801,0.3565904855211802,50,1500
0,17.0,3.0,119,38.95119509280245,1.6016102261128873,16016.102261128872,0.4095056150262635,50,1500
0,17.0,4.0,99,33.02154533548916,1.1065807759962019,11065.807759962021,0.366517155994961,50,1500
0,17.0,5.0,65,23.000641414376076,0.7138380572268862,7138.380572268862,0.24176092103939825,50,1500
0,17.0,6.0,35,13.945447893305403,0.35264639288925453,3526.463928892545,0.2293609939347666,50,1500
0,18.0,0.0,88,30.006570629002464,1.0091297246752933,10091.297246752933,0.6037504244846147,50,1500
0,18.0,1.0,68,23.88161469355813,0.7826035413054654,7826.035413054654,0.3481665382639197,50,1500
0,18.0,2.0,160,50.68584882807868,1.4120948697572504,14120.948697572503,0.3760112745687969,100,2100
0,18.0,3.0,83,28.48831733241992,0.7240325008878549,7240.325008878549,0.29501560849548175,50,1500
0,18.0,4.0,52,19.17400029193067,0.7900157484085915,7900.157484085915,0.36751439986275797,50,1500
0,18.0,5.0,88,30.006570629002464,0.6397366596101028,6397.366596101028,0.21486832980505136,50,1500
0,19.0,0.0,97,32.49499803409727,1.5695939464112671,15695.939464112671,0.46001198743002686,50,1500
0,19.0,1.0,45,16.845282300833766,0.8898098177639541,8898.09817763954,0.3214511432220802,50,1500
0,20.0,0.0,73,25.426737521390187,1.5653191855951636,15653.191855951636,0.4814021787760849,50,1500
0,20.0,1.0,80,27.530683400619054,1.2083167776250903,12083.167776250903,0.5161389920779109,50,1500
0,20.0,2.0,133,42.910797164077486,1.7855430706661481,17855.430706661482,0.46593674625769266,50,1500
0,20.0,3.0,124,40.45687600804889,1.2085756198649855,12085.756198649855,0.44679713284286615,50,1500
0,20.0,4.0,150,47.7808155107278,1.7112255495844435,17112.255495844434,0.42153040872194397,100,2100
0,21.0,0.0,77,26.60070940325792,1.031554742280558,10315.54742280558,0.383000940526863,50,1500
0,21.0,1.0,37,14.304295885466793,0.7728798937243212,7728.798937243212,0.4388711590971496,50,1500
0,21.0,2.0,89,30.150889526112042,1.2527443768777329,12527.44376877733,0.4638261641887231,50,1500
0,21.0,3.0,41,15.582013462782196,0.8191652830538164,8191.652830538164,0.3363606488509197,50,1500
0,22.0,0.0,73,25.426737521390187,1.0186062163457918,10186.062163457918,0.3917721476107854,50,1500
0,22.0,1.0,47,17.574785850404783,0.5833704232985025,5833.704232985026,0.2984682682002863,50,1500
0,22.0,2.0,52,19.17400029193067,0.6375933092961281,6375.933092961282,0.3297211435474371,50,1500
0,22.0,3.0,68,23.88161469355813,0.6393032408983866,6393.032408983867,0.25271275537720644,50,1500
0,23.0,0.0,227,69.31763009806548,1.8205615829872377,18205.61582987238,0.4771834306562927,100,2100
0,23.0,1.0,57,20.75682383636217,1.0413374839213305,10413.374839213304,0.6421886098369656,50,1500
0,24.0,0.0,87,29.789446934190934,1.2586422459825244,12586.422459825244,0.5471989467189584,50,1500
0,24.0,1.0,48,18.010220222537935,1.0252215699230467,10252.215699230466,0.4470605912013233,50,1500
0,25.0,0.0,127,41.10857427963124,1.2848225218744151,12848.225218744152,0.47104197743724147,50,1500
0,25.0,1.0,9,4.813783974197722,0.2074512501217117,2074.512501217117,0.11479050784070907,50,1500
0,26.0,0.0,58,20.96038894357578,0.9019040472037101,9019.0404720371,0.4596336063090588,50,1500
0,27.0,0.0,48,18.010220222537935,0.8383693209265177,8383.693209265177,0.36826792959521876,50,1500
0,28.0,0.0,174,54.60809855515863,2.2748408315152795,22748.4083151528,0.6074672660054521,100,2100
0,28.0,1.0,53,19.35523934315555,1.0517465405018327,10517.465405018325,0.4811799588736686,50,1500
0,28.0,2.0,70,24.632836321174693,1.1758748472721683,11758.748472721685,0.4784896265212225,50,1500
0,28.0,3.0,200,61.867836111846,2.2298375848123144,22298.375848123145,0.47730427008872506,100,2100
0,28.0,4.0,96,32.333999976917056,1.5215423664905487,15215.42366490549,0.6266248487186995,50,1500
0,28.0,5.0,109,36.11698753824268,1.5560992929084956,15560.992929084954,0.37901025289805296,50,1500
0,28.0,6.0,70,24.632836321174693,1.1132905341242725,11132.905341242726,0.42160072351589567,50,1500
0,28.0,7.0,83,28.509396331261623,0.7010825249785945,7010.825249785945,0.3143612599385722,50,1500
0,28.0,8.0,79,27.223613050851522,0.8361144477800325,8361.144477800324,0.3348683298050514,50,1500
0,28.0,9.0,92,31.064189839283756,0.8033781523309453,8033.781523309453,0.3143612599385722,50,1500
0,28.0,10.0,57,20.68882218820476,0.8981382000002831,8981.382000002832,0.4084206334995942,50,1500
0,28.0,11.0,70,24.632836321174693,1.232322597105682,12323.225971056821,0.3903370347185739,50,1500
0,28.0,12.0,35,13.888321657814895,0.4326289472289451,4326.289472289452,0.22815886001977567,50,1500
0,28.0,13.0,35,13.888321657814895,0.5917823609673253,5917.8236096732535,0.2727287726289298,50,1500
0,28.0,14.0,31,12.47651402666106,0.5430010059277233,5430.010059277231,0.23701603683305547,50,1500
0,29.0,0.0,40,15.279061958816431,0.42680318287243074,4268.031828724307,0.25195036913004504,50,1500
0,30.0,0.0,157,49.7315156100204,2.219857275581874,22198.57275581874,0.5541298910865818,100,2100
0,30.0,1.0,44,16.65216500403069,1.0128118296976683,10128.118296976681,0.4209571255292875,50,1500
0,30.0,2.0,22,9.56878133032115,0.16497906221955355,1649.7906221955357,0.10242640687119285,50,1500
0,31.0,0.0,87,29.789446934190934,1.3925744908742643,13925.744908742641,0.5678991422531426,50,1500
0,31.0,1.0,61,22.0122658874735,1.1839584042863194,11839.584042863195,0.4380058627514245,50,1500
0,31.0,2.0,9,4.813783974197722,0.24753941247323066,2475.394124732307,0.1361367183629342,50,1500
0,31.0,3.0,22,9.56878133032115,0.42213203435596425,4221.320343559642,0.24213203435596425,50,1500
0,31.0,4.0,27,11.038928032474434,0.5457144948370344,5457.144948370344,0.2578572474185172,50,1500
0,32.0,0.0,87,29.789446934190934,1.05011097533296,10501.109753329602,0.4522077774589376,50,1500
0,32.0,1.0,122,39.86566603629021,1.6583616023039904,16583.616023039904,0.4205037456519186,50,1500
0,32.0,2.0,48,18.010220222537935,0.6614588153262316,6614.588153262316,0.37903240845503877,50,1500
0,33.0,0.0,93,31.517444248674074,0.7591042340869655,7591.042340869655,0.34531823105364684,50,1500
0,33.0,1.0,68,23.88161469355813,0.8729713488153101,8729.7134881531,0.31970562748477144,50,1500
0,33.0,2.0,37,14.31498642210195,0.46063664706575447,4606.366470657545,0.2907211777945858,50,1500
0,33.0,3.0,52,19.17400029193067,0.49611957563972264,4961.195756397226,0.2436931687685298,50,1500
0,34.0,0.0,109,36.11698753824268,1.6376448535728054,16376.448535728054,0.4998167723667498,50,1500
0,34.0,1.0,79,27.223613050851522,1.0984067449623638,10984.067449623637,0.48688794527496326,50,1500
0,35.0,0.0,109,36.11698753824268,1.3523041267589806,13523.041267589806,0.4176464267091007,50,1500
0,35.0,1.0,79,27.223613050851522,0.9664820416626304,9664.820416626304,0.3879642810516348,50,1500
0,35.0,2.0,144,46.05126934970749,1.239346754013996,12393.467540139958,0.42577447215812214,100,2100
0,36.0,0.0,74,25.931612179042624,0.9927235348853418,9927.235348853419,0.4460990081014562,50,1500
0,36.0,1.0,40,15.279061958816431,0.5545582017789052,5545.582017789053,0.2646688289347503,50,1500
0,37.0,0.0,181,56.46102008448983,2.0663947316023576,20663.947316023576,0.7384400995768214,100,2100
0,37.0,1.0,104,34.519402083603886,1.1777945393280282,11777.945393280283,0.5377720302161126,50,1500
0,37.0,2.0,181,56.46102008448983,1.4475294120403734,14475.294120403734,0.44272216278471904,100,2100
0,38.0,0.0,83,28.509396331261623,0.9734298283786326,9734.298283786327,0.33,50,1500
0,39.0,0.0,99,33.02154533548916,1.7888537161068307,17888.537161068307,0.5563187901309262,50,1500
0,39.0,1.0,104,34.519402083603886,1.2231223291041833,12231.223291041835,0.5320028457344663,50,1500
0,40.0,0.0,88,30.006570629002464,1.3207145709825325,13207.145709825323,0.4938109862091817,50,1500
0,40.0,1.0,145,46.323416205784625,1.7691647155305958,17691.64715530596,0.40704451398764374,100,2100
