id1,id2,Length,Loading,Cost,Geom
26904.0,20237.0,0.305,1.47,3045.7224799281207,"MULTILINESTRING ((-132202.64088851 3180868.934702649, -132208.2762889713 3180855.38473535), (-132300.1195823844 3180698.393007067, -132302.5962627218 3180645.539535976), (-132300.1195823844 3180698.393007067, -132302.1787640703 3180737.307124641), (-132302.1787640703 3180737.307124641, -132297.9994881661 3180774.89759845), (-132297.9994881661 3180774.89759845, -132297.0136989317 3180806.615370059), (-132208.2762889713 3180855.38473535, -132230.5879349997 3180818.000181665), (-132230.5879349997 3180818.000181665, -132268.938385219 3180828.391336655), (-132297.0136989317 3180806.615370059, -132268.938385219 3180828.391336655))"
20237.0,20257.0,0.853,1.431,8527.062626053701,"MULTILINESTRING ((-132398.4996644338 3181425.631000349, -132388.9593783598 3181382.197188084), (-132398.4996644338 3181425.631000349, -132401.8163799892 3181467.319993522), (-132202.64088851 3180868.934702649, -132223.6692841465 3180899.793864099), (-132223.6692841465 3180899.793864099, -132254.2389937188 3180941.393220924), (-132254.2389937188 3180941.393220924, -132290.300002162 3180981.248007884), (-132290.300002162 3180981.248007884, -132313.0311409717 3181023.013452669), (-132313.0311409717 3181023.013452669, -132313.7386311735 3181075.958571945), (-132313.7386311735 3181075.958571945, -132295.2979092959 3181114.927957377), (-132295.2979092959 3181114.927957377, -132292.1816375919 3181180.213017194), (-132292.1816375919 3181180.213017194, -132297.0293050489 3181210.178951699), (-132297.0293050489 3181210.178951699, -132307.1699816839 3181247.255941826), (-132307.1699816839 3181247.255941826, -132329.7704578507 3181289.286049218), (-132329.7704578507 3181289.286049218, -132348.5794940754 3181321.0293532), (-132348.5794940754 3181321.0293532, -132367.425360104 3181349.524825148), (-132367.425360104 3181349.524825148, -132388.9593783598 3181382.197188084), (-132415.713052905 3181538.33070049, -132395.1362066054 3181513.451740876), (-132415.713052905 3181538.33070049, -132451.6436055265 3181543.927945742), (-132451.6436055265 3181543.927945742, -132485.7295051495 3181551.067475341), (-132395.1362066054 3181513.451740876, -132401.8163799892 3181467.319993522), (-132485.7295051495 3181551.067475341, -132502.8836453742 3181578.767910559))"
20463.0,20455.0,0.381,1.77,3806.2196536034794,"MULTILINESTRING ((-136416.8701997731 3184762.062030564, -136424.5906969752 3184724.280975749), (-136424.5906969752 3184724.280975749, -136425.4869241211 3184672.883158213), (-136425.4869241211 3184672.883158213, -136426.4627095036 3184621.364325621), (-136426.4627095036 3184621.364325621, -136415.6294288052 3184558.1436496), (-136415.6294288052 3184558.1436496, -136417.331787258 3184515.458243537), (-136417.331787258 3184515.458243537, -136442.5198374231 3184483.336764943), (-136442.5198374231 3184483.336764943, -136471.8889149025 3184454.534945978), (-136471.8889149025 3184454.534945978, -136483.8976991274 3184406.793112119))"
27616.0,27618.0,0.088,0.148,878.6151981745099,"MULTILINESTRING ((-133563.0404509229 3185871.633027269, -133538.0309682807 3185819.494348268), (-133538.0309682807 3185819.494348268, -133527.463956333 3185791.379682025))"
27618.0,29909.0,0.502,0.051,5016.983763662531,"MULTILINESTRING ((-133390.2145384648 3185477.820400609, -133444.3957329729 3185458.021230168), (-133390.2145384648 3185477.820400609, -133358.8965726882 3185481.376756614), (-133444.3957329729 3185458.021230168, -133515.2118594655 3185477.226970335), (-133527.463956333 3185791.379682025, -133520.0719277235 3185728.346003137), (-133520.0719277235 3185728.346003137, -133524.3082382543 3185670.767430489), (-133524.3082382543 3185670.767430489, -133536.9813514831 3185604.860123252), (-133536.9813514831 3185604.860123252, -133562.7659925451 3185535.212177088), (-133562.7659925451 3185535.212177088, -133515.2118594655 3185477.226970335))"
27618.0,29967.0,0.503,0.098,5030.252834137485,"MULTILINESTRING ((-133298.8965726882 3185841.376756614, -133328.8965726882 3185811.376756614), (-133298.8965726882 3185841.376756614, -133298.8965726882 3185871.376756614), (-133298.8965726882 3185871.376756614, -133298.8965726882 3185931.376756614), (-133527.463956333 3185791.379682025, -133508.8965726882 3185781.376756614), (-133388.8965726882 3185691.376756614, -133358.8965726882 3185691.376756614), (-133388.8965726882 3185691.376756614, -133388.8965726882 3185721.376756614), (-133358.8965726882 3185691.376756614, -133358.8965726882 3185721.376756614), (-133388.8965726882 3185721.376756614, -133388.8965726882 3185751.376756614), (-133358.8965726882 3185721.376756614, -133358.8965726882 3185751.376756614), (-133388.8965726882 3185751.376756614, -133418.8965726882 3185781.376756614), (-133358.8965726882 3185751.376756614, -133328.8965726882 3185811.376756614), (-133508.8965726882 3185781.376756614, -133478.8965726882 3185781.376756614), (-133478.8965726882 3185781.376756614, -133418.8965726882 3185781.376756614))"
25557.0,30030.0,0.541,0.016,5407.317118278471,"MULTILINESTRING ((-134313.1898840675 3185981.865160345, -134348.3629295818 3185993.446960349), (-134313.1898840675 3185981.865160345, -134295.7412344493 3185980.621347146), (-134348.3629295818 3185993.446960349, -134383.7953492441 3186010.464242003), (-134383.7953492441 3186010.464242003, -134415.9264707521 3186001.312625003), (-134415.9264707521 3186001.312625003, -134433.5726853615 3185966.062231264), (-134433.5726853615 3185966.062231264, -134434.1593447653 3185934.771901587), (-134434.1593447653 3185934.771901587, -134444.0659413419 3185891.460802752), (-134444.0659413419 3185891.460802752, -134443.8721072759 3185852.500691573), (-134443.8721072759 3185852.500691573, -134433.6260451535 3185823.002994344), (-134433.6260451535 3185823.002994344, -134424.2385777326 3185831.608380696), (-134424.2385777326 3185831.608380696, -134394.2385777326 3185831.608380696), (-134394.2385777326 3185831.608380696, -134394.2385777326 3185861.608380696), (-134394.2385777326 3185861.608380696, -134394.2385777326 3185891.608380696), (-134394.2385777326 3185891.608380696, -134394.2385777326 3185921.608380696), (-134215.703789872 3185972.889458725, -134249.1685323318 3185978.486700792), (-134249.1685323318 3185978.486700792, -134295.7412344493 3185980.621347146))"
25555.0,25133.0,0.167,0.09,1669.0937448060804,"MULTILINESTRING ((-134292.5868228995 3186148.755543449, -134283.3335412722 3186115.322664383), (-134283.3335412722 3186115.322664383, -134274.5650097493 3186093.181424316), (-134274.5650097493 3186093.181424316, -134216.753163792 3186084.120999681), (-134169.0618799831 3186079.933823202, -134186.4134111716 3186076.043298479), (-134216.753163792 3186084.120999681, -134186.4134111716 3186076.043298479))"
26603.0,25019.0,0.296,0.029,2961.3224291424212,"MULTILINESTRING ((-138677.6526212084 3187204.700262516, -138699.2107167153 3187250.113829498), (-138699.2107167153 3187250.113829498, -138744.8863414093 3187290.150244036), (-138744.8863414093 3187290.150244036, -138659.7078903118 3187385.853323396), (-138608.1068475335 3187385.714057937, -138659.7078903118 3187385.853323396))"
26603.0,30117.0,0.59,0.024,5903.850729230122,"MULTILINESTRING ((-138664.0138319348 3186936.849133957, -138773.2130770295 3186933.319490449), (-138664.0138319348 3186936.849133957, -138687.0014467781 3187123.502047352), (-138773.2130770295 3186933.319490449, -138748.9183422431 3186929.650177107), (-138838.9183422431 3186839.650177107, -138778.9183422431 3186869.650177107), (-138778.9183422431 3186869.650177107, -138748.9183422431 3186869.650177107), (-138748.9183422431 3186869.650177107, -138718.9183422431 3186899.650177107), (-138718.9183422431 3186899.650177107, -138748.9183422431 3186929.650177107), (-138694.6836865546 3187176.965152718, -138687.0014467781 3187123.502047352), (-138694.6836865546 3187176.965152718, -138677.6526212084 3187204.700262516))"
