id1,id2,Length,Loading,Cost,Geom
20257.0,20410.0,624.111,0.062,11403.122065808526,"LINESTRING (-132502.8836453742 3181578.767910559, -132078.4676640041 3181713.087777842, -132081.9832720922 3181754.557175517, -132085.1153726024 3181785.911519727, -132093.2021692551 3181819.738919394, -132092.8354872051 3181890.775774137)"
20257.0,24981.0,1122.422,1.359,14234.827564054585,"LINESTRING (-132502.8836453742 3181578.767910559, -132522.5457063495 3181615.310555481, -132671.2004155965 3181995.672548381, -132796.043990249 3182425.524449068, -132809.2680129398 3182429.311713916, -132887.6477622289 3182426.969467904, -132930.1495103212 3182457.443562894, -132950.0175136507 3182484.255650428, -132950.9908199049 3182485.430839589, -132979.9958145478 3182520.573474514)"
29208.0,29821.0,872.129,0.1,13912.263005712137,"LINESTRING (-131274.4933484389 3184349.10219475, -131274.4933484389 3184379.10219475, -131304.4933484389 3184379.10219475, -131304.4933484389 3184409.10219475, -131334.4933484389 3184409.10219475, -131334.4933484389 3184439.10219475, -131471.2004155965 3184695.672548381, -131819.4669245179 3184895.275123749, -131819.4669245179 3184865.275123749)"
26991.0,20666.0,646.5,0.983,8491.318022969108,"LINESTRING (-132898.7219548798 3182883.199529564, -132892.0025453581 3182920.661161485, -132671.2004155965 3182895.672548381, -132367.4490816543 3183106.263296571, -132377.3020787587 3183092.883358866)"
29622.0,23251.0,2126.255,0.048,24613.01614758268,"LINESTRING (-133562.1337474609 3182949.829879946, -133562.1337474609 3182919.829879946, -133562.1337474609 3182889.829879946, -133571.2004155965 3182895.672548381, -133871.2004155965 3182595.672548381, -134263.6462990675 3182642.921246589, -134445.15445364 3182944.805487354, -134495.8890679906 3183270.723374096, -134577.2570953646 3183620.965114461, -134587.8898362157 3183698.249829903, -134600.7460474823 3183730.272163975, -134617.4386441919 3183759.146029662, -134644.8948430564 3183776.326390289, -134660.1867262125 3183781.04890357)"
20455.0,30178.0,3159.064,1.753,54963.22809057919,"LINESTRING (-136416.8701997731 3184762.062030564, -136379.3871073579 3184838.961990697, -136350.837616722 3184852.950894757, -136271.2004155965 3185295.672548381, -136271.2004155965 3185595.672548381, -136271.2004155965 3185895.672548381, -136271.2004155965 3186195.672548381, -136271.2004155965 3186495.672548381, -136271.2004155965 3186795.672548381, -136271.2004155965 3187095.672548381, -136271.2004155965 3187395.672548381, -136408.0739929304 3187805.306104713, -136438.0739929304 3187805.306104713, -136438.0739929304 3187775.306104713)"
26603.0,22794.0,4384.614,0.258,64337.42752668447,"LINESTRING (-138677.6526212085 3187204.700262516, -138688.9183422431 3187199.650177107, -138971.2004155965 3187095.672548381, -139271.2004155965 3187095.672548381, -139571.2004155965 3187095.672548381, -139871.2004155965 3187095.672548381, -140171.2004155965 3187095.672548381, -140471.2004155965 3187395.672548381, -140771.2004155965 3187695.672548381, -141071.2004155965 3187995.672548381, -141371.2004155965 3188295.672548381, -141671.2004155965 3188595.672548381, -141992.5416029458 3188895.402832165, -142013.4462850071 3188947.41220133, -142040.2746554677 3188988.518090999, -142053.2742735943 3189042.537325714, -142052.3120759175 3189078.070135853, -142110.4002284419 3189098.127899294, -142151.5096530819 3189131.5705311)"
27557.0,30475.0,1225.124,0.933,19578.367718137106,"LINESTRING (-136185.44644999 3188123.921716537, -136181.0828299626 3188069.690360924, -136190.5018143922 3188035.931308488, -136202.3265830553 3188026.014481685, -136225.2985513009 3188051.450554442, -136228.0739929304 3188045.306104713, -136228.0739929304 3188015.306104713, -135971.2004155965 3187995.672548381, -135671.2004155965 3187995.672548381, -135371.2004155965 3187995.672548381, -135188.9663626322 3187936.510851925)"
27557.0,25188.0,880.915,0.711,8987.056494162218,"LINESTRING (-136185.44644999 3188123.921716537, -136181.0828299626 3188069.690360924, -136190.5018143922 3188035.931308488, -136202.3265830553 3188026.014481685, -136225.2985513009 3188051.450554442, -136265.6122307571 3188097.777786945, -136286.0514264859 3188141.798665893, -136308.4821486077 3188194.169009122, -136321.5150748907 3188244.355860144, -136402.2140917557 3188276.678820554, -136441.9177861406 3188250.980990445, -136479.6495007617 3188249.340217743, -136536.4039240662 3188234.375435449, -136574.2828175481 3188220.230999137, -136600.7241070625 3188199.688163366, -136631.4545969878 3188169.827672088, -136650.6272260056 3188142.957637054, -136665.6114144883 3188116.027239229, -136695.5061211037 3188068.440651039, -136727.1812498468 3188047.970788034, -136742.9895609215 3188039.808739939)"
24645.0,25102.0,800.281,0.049,16005.629271565034,"LINESTRING (-133070.6148503791 3187633.003747749, -132671.9794560042 3187649.661775468, -132270.6847792556 3187651.336494298)"
25355.0,25339.0,684.639,0.087,7435.92894656031,"LINESTRING (-133040.3510008774 3189514.260131614, -133031.3058294286 3189572.515573744, -133047.4368816367 3189626.891159992, -133074.3632230993 3189654.295257655, -133071.8819144737 3189687.614893661, -133091.8133305294 3189958.796829655, -133064.1326974917 3189998.080202834, -133047.7535998597 3189964.544255682, -133025.0734625666 3189933.020347528, -133015.0048684121 3189897.4725579, -132967.0913624897 3189873.996540984)"
25289.0,30744.0,1181.54,0.176,17495.101336218937,"LINESTRING (-137630.351375223 3189643.404294915, -137618.5696226966 3189637.366439174, -137558.4648547651 3189623.216686101, -137527.5624222181 3189621.54215398, -137450.2146609459 3189613.142162582, -137467.1549739053 3189594.52543862, -137771.2004155965 3189795.672548381, -138130.390337597 3189954.488044959, -138130.390337597 3189984.488044959, -138130.390337597 3190074.488044959, -138040.3903375971 3190104.488044959)"
26515.0,25235.0,1788.175,0.09,18404.46905629164,"LINESTRING (-138459.9025308517 3189866.825967429, -138461.4294184507 3189914.783208572, -138477.5597089765 3189967.083356183, -138510.6355120973 3190004.995690578, -138558.5135096318 3190030.579065453, -138583.2280379735 3190066.307469919, -138624.6195773134 3190108.488118562, -138657.5201329933 3190160.988984711, -138732.4546585783 3190376.557564308, -138880.0233909407 3190649.261580231, -139010.584375916 3190942.607201905, -139235.6115412842 3191127.795034026, -139265.9540950875 3191152.184441972, -139312.5465640279 3191267.181926313, -139324.5835598377 3191311.086113313, -139328.1451103858 3191363.236840162)"
20090.0,31193.0,1602.067,0.187,24129.55337874934,"LINESTRING (-143859.5129017183 3174539.626795953, -143820.5838556598 3174579.08144442, -143771.2004155965 3174795.672548381, -143771.2004155965 3175095.672548381, -143771.2004155965 3175395.672548381, -143771.2004155965 3175695.672548381, -143771.2004155965 3175995.672548381, -143704.4177435751 3176100.485450366)"
20090.0,32682.0,3073.644,1.404,45077.55554239688,"LINESTRING (-143859.5129017183 3174539.626795953, -143904.4837587455 3174531.932745147, -143937.2465863194 3174540.618642084, -144371.2004155965 3174495.672548381, -144671.2004155965 3174195.672548381, -144971.2004155965 3173895.672548381, -145271.2004155965 3173595.672548381, -145571.2004155965 3173295.672548381, -145871.2004155965 3172995.672548381, -145915.9437421414 3172707.447688494, -145855.9437421414 3172647.447688494, -145795.9437421414 3172647.447688494)"
28184.0,32888.0,4142.311,0.752,41987.690161732215,"LINESTRING (-147315.2686309296 3216611.842434921, -147247.2801727752 3216572.421062156, -147297.7383372576 3216528.65102554, -147338.5127007768 3216505.457529707, -147381.4309614281 3216498.169109772, -147647.4887838089 3216307.119834246, -147914.3905778448 3216228.293845327, -147821.5833268227 3216355.870994816, -147779.211371439 3216660.65667751, -147868.2931407946 3216926.719622094, -147802.9434687556 3217218.492097724, -147631.8283854127 3217461.871041693, -147760.624189447 3217686.654960734, -147674.1925259056 3217854.939951101, -147532.2813355253 3218146.039757244, -147396.14954748 3218221.937925798, -147316.7073333209 3218236.38553044, -146987.0101744221 3218291.046047063, -146763.7620109343 3218409.333013524, -146581.5462956388 3218335.168556336, -146533.6256582511 3218380.88072233, -146490.9316606245 3218375.013823273, -146434.4897387715 3218376.378219727)"
30894.0,23652.0,2215.733,0.154,25914.44542737776,"LINESTRING (-146852.908055027 3177103.73829129, -146807.3432241227 3177106.379622032, -146769.2672073231 3177112.031277795, -146738.0997323838 3177117.093708361, -146529.8685105672 3177042.16552435, -146275.7068222084 3176890.508763597, -145978.7308096414 3176734.36378315, -145891.1912473607 3176710.373650928, -145601.1142500238 3176570.900060419, -145272.0245799593 3176571.274446353, -144971.2004155965 3176595.672548381, -144795.9220350301 3176699.443949064)"
28199.0,23412.0,593.099,0.396,9399.593723071397,"LINESTRING (-137418.7263762503 3170812.109946193, -137135.5813136974 3171012.462431987, -137096.0252050009 3171002.297665626, -137047.0633052212 3170990.282152226, -137000.7511970037 3170978.297917672, -136951.212003679 3170980.477681248, -136894.3533013513 3170979.700528952)"
31208.0,23698.0,200.053,0.077,2000.5279375788518,"LINESTRING (-147080.9803245683 3177291.304916803, -147109.0107855565 3177295.090928935, -147116.2700724786 3177381.328326618, -147087.659461344 3177399.149909054, -147053.1318709163 3177437.385633672)"
