ID,X,Y,Voltage,Power,Cluster,Distance
20237.0,-132202.64088851007,3180868.934702649,0.923,38.402,1.0,10.379
20257.0,-132502.88364537415,3181578.7679105587,0.923,10.355,1.0,10.379
23290.0,-132223.29802731556,3180016.123988475,0.923,39.802,1.0,10.377
26904.0,-132302.59626272178,3180645.5395359765,0.923,59.79,1.0,10.378
20463.0,-136483.89769912744,3184406.7931121187,0.935,0.0,10.0,6.966
20455.0,-136416.87019977305,3184762.0620305636,0.935,16.8,10.0,6.967
24626.0,-136713.25950183102,3184474.5993287424,0.935,41.5,10.0,6.966
29777.0,-136610.4173348677,3184204.9281220026,0.935,9.65,10.0,6.967
27066.0,-131961.77341271768,3185645.3687196686,0.909,33.843,11.0,14.355
27707.0,-132006.22652853833,3185350.1118809283,0.909,51.47,11.0,14.355
29821.0,-131819.46692451785,3184865.275123749,0.909,14.304,11.0,14.354
29891.0,-140563.82513323615,3183149.172474698,1.0,10.941,12.0,2.413
27618.0,-133527.46395633294,3185791.379682025,0.904,0.0,13.0,13.47
27616.0,-133563.04045092294,3185871.6330272686,0.904,40.457,13.0,13.47
29909.0,-133358.89657268825,3185481.3767566136,0.904,50.686,13.0,13.47
29967.0,-133298.89657268825,3185931.3767566136,0.904,97.419,13.0,13.47
25555.0,-134169.06187998306,3186079.9338232023,0.905,0.0,14.0,12.673
25557.0,-134215.70378987194,3185972.889458725,0.905,0.0,14.0,12.673
20715.0,-134170.09052034633,3185881.741928386,0.905,43.398,14.0,12.673
20724.0,-133900.0240618899,3186395.5546600856,0.905,12.646,14.0,12.673
25133.0,-134292.58682289952,3186148.7555434494,0.905,90.441,14.0,12.673
30030.0,-134394.23857773258,3185921.6083806963,0.905,15.956,14.0,12.674
26603.0,-138677.65262120846,3187204.7002625163,0.906,0.0,15.0,13.186
25019.0,-138608.1068475335,3187385.714057937,0.906,28.774,15.0,13.187
30117.0,-138838.91834224307,3186839.6501771067,0.906,23.652,15.0,13.187
30137.0,-138748.91834224307,3187199.6501771067,0.906,39.477,15.0,13.187
27557.0,-136185.44644998998,3188123.9217165373,0.912,82.029,16.0,10.127
30178.0,-136438.07399293044,3187775.306104713,0.912,26.962,16.0,10.126
24639.0,-133129.60664014894,3188308.411968725,0.905,0.0,17.0,12.542
25367.0,-133044.4639183296,3188972.378989672,0.905,0.0,17.0,12.543
24645.0,-133070.6148503791,3187633.0037477487,0.905,34.519,17.0,12.541
25355.0,-133040.3510008774,3189514.260131614,0.905,23.001,17.0,12.543
25377.0,-133238.14467076823,3189074.6450503673,0.905,38.951,17.0,12.543
25393.0,-133925.3343523339,3189213.574755087,0.905,75.288,17.0,12.544
25409.0,-134595.03971597727,3189638.087562467,0.905,33.022,17.0,12.545
25427.0,-133213.62481209752,3188655.4062084444,0.905,13.945,17.0,12.542
30271.0,-133005.20387559762,3188273.6896287417,0.905,43.883,17.0,12.542
27585.0,-134580.76641846081,3187994.122875885,0.907,0.0,18.0,11.352
27594.0,-134228.90206622976,3187950.892159824,0.907,19.174,18.0,11.353
30410.0,-134138.9663626322,3187486.510851925,0.907,30.007,18.0,11.353
30419.0,-134768.9663626322,3187576.510851925,0.907,23.882,18.0,11.353
30432.0,-134498.9663626322,3187696.510851925,0.907,30.007,18.0,11.353
30475.0,-135188.9663626322,3187936.510851925,0.907,28.488,18.0,11.352
30478.0,-134588.9663626322,3187936.510851925,0.907,50.686,18.0,11.353
30442.0,-134588.9663626322,3187756.510851925,0.907,0.0,18.0,11.353
25102.0,-132270.68477925562,3187651.3364942977,0.905,16.845,19.0,13.342
28134.0,-132160.65762126833,3187931.1792675904,0.905,32.495,19.0,13.343
