ID,cluster_ID,residential_area,n_residential_area,admin_0,admin_1,admin_2,admin_3,OSM,urban_percentage,n_buildings,area,extension,population_facebook,population_worldpop,population_density,building_density,night_lights,schools,hospitals,distance_road,distance_grid,distance_official_substations,distance_substations,grid_buildings,lights_build,centroid,polygons,Existing_220.0:,Planned_220.0:,Existing_110.0:,Planned_400.0:,Planned_110.0:,type
0,1,100.0000003,1,['Mozambique'],0,0,0,No OSM location found,0.0,305,0.685822595,1.94622574,1777.12557,1216.72229,1774.106452,444.7214226,0.0,1,0,15.35491652,1.202217405,0,0,0,0.0,POINT (210479.5723526014 7930717.961576941),"0    POLYGON ((209998.339 7930487.385, 210063.495 7...
Name: geometry, dtype: geometry",,,,,,Rural
1,2,100.0000173,1,['Mozambique'],0,0,0,No OSM location found,0.0,569,0.780853622,3.225286418,3093.514882,2489.962891,3188.770367,728.6897109,0.0,1,1,11.7273954,4.41371998,0,0,0,0.0,POINT (209290.1884563535 7934214.21586091),"0    POLYGON ((208563.231 7933579.235, 208583.369 7...
Name: geometry, dtype: geometry",,,,,,Rural
1001,262,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,239,0.35206078,1.054572886,159.8601271,396.1224976,1125.153724,678.8600541,0.0,0,0,10.00818054,111.8647068,0,0,0,0.0,POINT (441970.0188450009 8103661.26240921),"0    POLYGON ((441624.274 8103960.773, 441624.338 8...
Name: geometry, dtype: geometry",,,,,,Rural
1013,263,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,177,0.500018176,1.142966502,413.7371302,359.430481,718.8348301,353.9871315,0.0,0,1,0.067729736,0.205467389,0,0,0,0.0,POINT (283942.3245829156 8105914.444478539),"0    POLYGON ((283653.549 8106165.207, 283653.546 8...
Name: geometry, dtype: geometry",0.695516772,,,,,Rural
1014,264,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,196,0.610218027,1.758592786,718.2400849,708.8286133,1161.59894,321.1966729,0.0,2,0,8.398683209,36.15746778,0,0,0,0.0,POINT (140920.2516194337 8106040.775824174),"0    POLYGON ((140402.567 8106478.904, 140401.926 8...
Name: geometry, dtype: geometry",,,,,,Rural
1018,265,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,160,0.458624707,1.377012663,370.3425438,638.9003296,1393.078741,348.8691244,0.0,0,0,0.016707904,29.38164906,0,0,0,0.0,POINT (149574.4959802686 8104816.179999095),"0    POLYGON ((149140.701 8104412.616, 149140.097 8...
Name: geometry, dtype: geometry",,,,,,Rural
1024,266,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,186,0.202496271,0.749629476,159.8601271,262.6080933,1296.85397,918.5354323,0.0,0,0,10.2159787,113.1969649,0,0,0,0.0,POINT (440805.5818227822 8103011.077697108),"0    POLYGON ((440541.250 8103028.103, 440539.953 8...
Name: geometry, dtype: geometry",,,,,,Rural
1025,267,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,811,1.954545215,2.466781941,643.1837488,2035.341919,1041.337854,414.9302834,0.0,2,0,0.346794135,31.39804627,0,0,0,0.0,POINT (108477.3069821247 8102696.131407179),"0    POLYGON ((107598.511 8103204.067, 107597.720 8...
Name: geometry, dtype: geometry",,,,,,Rural
1027,268,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,125,0.370625061,0.928278686,330.7450905,396.0601196,1068.627465,337.2680726,0.0,1,1,11.49507048,102.1734806,0,0,0,0.0,POINT (423250.7878637378 8103508.658312626),"0    POLYGON ((422877.905 8103559.799, 422877.802 8...
Name: geometry, dtype: geometry",,,,,,Rural
1031,269,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,127,0.328390112,0.860213507,371.6017357,425.6931152,1296.303086,386.7351526,0.0,0,0,3.579014374,69.69840355,0,0,0,0.821776987,POINT (390241.1221944296 8100507.737877601),"0    POLYGON ((389942.884 8100423.234, 389941.345 8...
Name: geometry, dtype: geometry",,,,,,Rural
