,cluster_ID,PS,Electrification
0,1,Chinde,national grid extension
1,2,Chinde,national grid extension
2,3,Chinde,national grid extension
3,4,Chinde,national grid extension
4,5,Marromeu,national grid extension
5,6,Chinde,national grid extension
6,7,Chinde,national grid extension
7,8,Chinde,national grid extension
8,9,Chinde,national grid extension
9,10,Quelimane Ceramica HV,national grid extension
10,11,Quelimane Ceramica HV,national grid extension
11,12,Quelimane Ceramica HV,national grid extension
12,13,Quelimane Ceramica HV,national grid extension
13,14,Quelimane Ceramica HV,national grid extension
14,15,Quelimane Ceramica HV,national grid extension
15,16,Quelimane Ceramica HV,national grid extension
16,17,Quelimane Ceramica HV,national grid extension
17,18,Quelimane Ceramica HV,national grid extension
18,19,Quelimane Ceramica HV,national grid extension
19,20,Quelimane Ceramica HV,national grid extension
20,21,Quelimane Ceramica HV,national grid extension
21,22,Marromeu,national grid extension
22,23,Quelimane Ceramica HV,national grid extension
23,24,Quelimane Ceramica HV,national grid extension
24,25,Quelimane Ceramica HV,national grid extension
25,26,Quelimane Ceramica HV,national grid extension
26,27,Quelimane Ceramica HV,national grid extension
27,28,Quelimane Ceramica HV,national grid extension
28,29,Quelimane Ceramica HV,national grid extension
29,30,Quelimane Ceramica HV,national grid extension
30,31,Quelimane Ceramica HV,national grid extension
31,32,Chimuara,national grid extension
32,33,Quelimane Ceramica HV,national grid extension
33,34,Quelimane Ceramica HV,national grid extension
34,35,Quelimane Ceramica HV,national grid extension
35,36,Chimuara,national grid extension
36,37,Quelimane Ceramica HV,national grid extension
37,38,Quelimane Ceramica HV,national grid extension
38,39,Quelimane Ceramica HV,national grid extension
39,40,Chimuara,national grid extension
40,41,Quelimane Ceramica HV,national grid extension
41,42,Chimuara,national grid extension
42,43,Quelimane Ceramica HV,national grid extension
43,44,Chimuara,national grid extension
44,45,Quelimane Ceramica HV,national grid extension
45,46,Quelimane Ceramica HV,national grid extension
46,47,Nicoadala - to be verified,national grid extension
47,48,Quelimane Ceramica HV,national grid extension
48,49,Quelimane Ceramica HV,national grid extension
49,50,Chimuara,national grid extension
50,51,Quelimane Ceramica HV,national grid extension
51,52,Chimuara,national grid extension
52,53,Quelimane Ceramica HV,national grid extension
53,54,Quelimane Ceramica HV,national grid extension
54,55,Quelimane Ceramica HV,national grid extension
55,56,Quelimane Ceramica HV,national grid extension
56,57,Quelimane Ceramica HV,national grid extension
57,58,Quelimane Ceramica HV,national grid extension
58,59,Quelimane Ceramica HV,national grid extension
59,60,Quelimane Ceramica HV,national grid extension
60,61,Chimuara,national grid extension
61,62,Quelimane Ceramica HV,national grid extension
62,63,Chimuara,national grid extension
63,64,Chimuara,national grid extension
64,65,Quelimane Ceramica HV,national grid extension
65,66,Quelimane Ceramica HV,national grid extension
66,67,Quelimane Ceramica HV,national grid extension
67,68,Nicoadala - to be verified,national grid extension
68,69,Chimuara,national grid extension
69,70,Chimuara,national grid extension
70,71,Quelimane Ceramica HV,national grid extension
71,72,Chimuara,national grid extension
72,73,Quelimane Ceramica HV,national grid extension
73,74,Nicoadala - to be verified,national grid extension
74,75,Quelimane Ceramica HV,national grid extension
75,76,Chimuara,national grid extension
76,77,Nicoadala - to be verified,national grid extension
77,78,Chimuara,national grid extension
78,79,Chimuara,national grid extension
79,80,Quelimane Ceramica HV,national grid extension
80,81,Quelimane Ceramica HV,national grid extension
81,82,Quelimane Ceramica HV,national grid extension
82,83,Quelimane Ceramica HV,national grid extension
83,84,Quelimane Ceramica HV,national grid extension
84,85,Nicoadala - to be verified,national grid extension
85,86,Chimuara,national grid extension
86,87,Quelimane Ceramica HV,national grid extension
87,88,Quelimane Ceramica HV,national grid extension
88,89,Quelimane Ceramica HV,national grid extension
89,90,Quelimane Ceramica HV,national grid extension
90,91,Quelimane Ceramica HV,national grid extension
91,92,Quelimane Ceramica HV,national grid extension
92,93,Quelimane Ceramica HV,national grid extension
93,94,Quelimane Ceramica HV,national grid extension
94,95,Nicoadala - to be verified,national grid extension
95,96,Quelimane Ceramica HV,national grid extension
96,97,Quelimane Ceramica HV,national grid extension
97,98,Quelimane Ceramica HV,national grid extension
98,99,Quelimane Ceramica HV,national grid extension
99,100,Quelimane Ceramica HV,national grid extension
100,101,Quelimane Ceramica HV,national grid extension
101,102,Quelimane Ceramica HV,national grid extension
102,103,Quelimane Ceramica HV,national grid extension
103,104,Nicoadala - to be verified,national grid extension
104,105,Nicoadala - to be verified,national grid extension
105,106,Nicoadala - to be verified,national grid extension
106,107,Quelimane Ceramica HV,national grid extension
107,108,Quelimane Ceramica HV,national grid extension
108,109,Nicoadala - to be verified,national grid extension
109,110,Nicoadala - to be verified,national grid extension
110,111,Quelimane Ceramica HV,national grid extension
111,112,Nicoadala - to be verified,national grid extension
112,113,Chimuara,national grid extension
113,114,Nicoadala - to be verified,national grid extension
114,115,Quelimane Ceramica HV,national grid extension
115,116,Nicoadala - to be verified,national grid extension
116,117,Nicoadala - to be verified,national grid extension
117,118,Nicoadala - to be verified,national grid extension
118,119,Nicoadala - to be verified,national grid extension
119,120,Nicoadala - to be verified,national grid extension
120,121,Quelimane Ceramica HV,national grid extension
121,122,Quelimane Ceramica HV,national grid extension
122,123,Quelimane Ceramica HV,national grid extension
123,124,Quelimane Ceramica HV,national grid extension
124,125,Nicoadala - to be verified,national grid extension
125,126,Quelimane Ceramica HV,national grid extension
126,127,Nicoadala - to be verified,national grid extension
127,128,Nicoadala - to be verified,national grid extension
128,129,Quelimane Ceramica HV,national grid extension
129,130,Quelimane Ceramica HV,national grid extension
130,131,Quelimane Ceramica HV,national grid extension
131,132,Nicoadala - to be verified,national grid extension
132,133,Nicoadala - to be verified,national grid extension
133,134,Chimuara,national grid extension
134,135,Chimuara,national grid extension
135,136,Quelimane Ceramica HV,national grid extension
136,137,Chimuara,national grid extension
137,138,Nicoadala - to be verified,national grid extension
138,139,Quelimane Ceramica HV,national grid extension
139,140,Quelimane Ceramica HV,national grid extension
140,141,None(too far),off-grid system
141,142,Quelimane Ceramica HV,national grid extension
142,143,Nicoadala - to be verified,national grid extension
143,144,Quelimane Ceramica HV,national grid extension
144,145,Quelimane Ceramica HV,national grid extension
145,146,Quelimane Ceramica HV,national grid extension
146,147,Chimuara,national grid extension
147,148,Chimuara,national grid extension
148,149,Nicoadala - to be verified,national grid extension
149,150,Quelimane Ceramica HV,national grid extension
150,151,Quelimane Ceramica HV,national grid extension
151,152,Quelimane Ceramica HV,national grid extension
152,153,Quelimane Ceramica HV,national grid extension
153,154,Quelimane Ceramica HV,national grid extension
154,155,Nicoadala - to be verified,national grid extension
155,156,Nicoadala - to be verified,national grid extension
156,157,Quelimane Ceramica HV,national grid extension
157,158,Nicoadala - to be verified,national grid extension
158,159,Quelimane Ceramica HV,national grid extension
159,160,Quelimane Ceramica HV,national grid extension
160,161,Nicoadala - to be verified,national grid extension
161,162,Quelimane Ceramica HV,national grid extension
162,163,Chimuara,national grid extension
163,164,Nicoadala - to be verified,national grid extension
164,165,Nicoadala - to be verified,national grid extension
165,166,Nicoadala - to be verified,national grid extension
166,167,Quelimane Ceramica HV,national grid extension
167,168,Quelimane Ceramica HV,national grid extension
168,169,Quelimane Ceramica HV,national grid extension
169,170,Chimuara,national grid extension
170,171,Quelimane Ceramica HV,national grid extension
171,172,Quelimane Ceramica HV,national grid extension
172,173,Quelimane Ceramica HV,national grid extension
173,174,None(too far),off-grid system
174,175,Chimuara,national grid extension
175,176,Quelimane Ceramica HV,national grid extension
176,177,Quelimane Ceramica HV,national grid extension
177,178,Quelimane Ceramica HV,national grid extension
178,179,None(too far),off-grid system
179,180,Chimuara,national grid extension
180,181,Quelimane Ceramica HV,national grid extension
181,182,Quelimane Ceramica HV,national grid extension
182,183,Chimuara,national grid extension
183,184,None(too far),off-grid system
184,185,Chimuara,national grid extension
185,186,Chimuara,national grid extension
186,187,Chimuara,national grid extension
187,188,Quelimane Ceramica HV,national grid extension
188,189,Chimuara,national grid extension
189,190,Quelimane Ceramica HV,national grid extension
190,191,Chimuara,national grid extension
191,192,Quelimane Ceramica HV,national grid extension
192,193,Chimuara,national grid extension
193,194,None(too far),off-grid system
194,195,Chimuara,national grid extension
195,196,Quelimane Ceramica HV,national grid extension
196,197,Quelimane Ceramica HV,national grid extension
197,198,Quelimane Ceramica HV,national grid extension
198,199,Chimuara,national grid extension
199,200,Chimuara,national grid extension
200,201,Chimuara,national grid extension
201,202,Chimuara,national grid extension
202,203,Quelimane Ceramica HV,national grid extension
203,204,Quelimane Ceramica HV,national grid extension
204,205,Quelimane Ceramica HV,national grid extension
205,206,Chimuara,national grid extension
206,207,Chimuara,national grid extension
207,208,Chimuara,national grid extension
208,209,Chimuara,national grid extension
209,210,Chimuara,national grid extension
210,211,Chimuara,national grid extension
211,212,Chimuara,national grid extension
212,213,None(too far),off-grid system
213,214,Chimuara,national grid extension
214,215,None(too far),off-grid system
215,216,Quelimane Ceramica HV,national grid extension
216,217,None(too far),off-grid system
217,218,None(too far),off-grid system
218,219,Quelimane Ceramica HV,national grid extension
219,220,Quelimane Ceramica HV,national grid extension
220,221,None(too far),off-grid system
221,222,Chimuara,national grid extension
222,223,None(too far),off-grid system
223,224,Chimuara,national grid extension
224,225,None(too far),off-grid system
225,226,Chimuara,national grid extension
226,227,None(too far),off-grid system
227,228,None(too far),off-grid system
228,229,Mocuba_HV,national grid extension
229,230,Chimuara,national grid extension
230,231,None(too far),off-grid system
231,232,Chimuara,national grid extension
232,233,Chimuara,national grid extension
233,234,None(too far),off-grid system
234,235,Mocuba_HV,national grid extension
235,236,None(too far),off-grid system
